# BEAST v1.7.5
# Generated Wed Jul 31 16:11:18 EDT 2013 [seed=1375301450635]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	skyline
0	-8706.733496290366	-2813.434179416626	-5893.299316873739	10.940498625622903	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.01	-5893.299316873739	-443.23790049376294
100000	-7664.494531864206	-2556.800126118078	-5107.694405746128	18.116753716590136	8.133183183797364	6.06947771685997	3.199442275339008	4.307403614310586	4.586987895235779	3.409122238070831	12.72469968160232	8.341227683985101	4.404569524643375	5.366206762865272	2.0	10.0	5.0	22.0	8.0	11.0	6.0	6.0	23.0	1.0	0.10207255175235368	0.8552633382467356	0.06756181863094327	0.02441584456921521	0.07923839541214246	0.33640646016232334	0.18483436750493645	0.22895002463469508	0.24980914769804513	2.117281530820959	0.5236321950089652	0.002804311870606437	-5107.694405746128	-222.48807616727166
200000	-7678.6642895852465	-2557.5060608444364	-5121.15822874081	18.75200526473735	9.97049861443264	5.393877451698091	2.7473511667019332	2.456823897895434	9.63186347034513	4.928745373681456	1.2478838941584856	2.562761445961424	4.85949641645375	5.439036356863738	5.0	8.0	11.0	34.0	9.0	10.0	2.0	2.0	10.0	3.0	0.1559311363230865	0.8902492878657048	0.0778708471884937	0.03715696881813521	0.14015184336786116	0.31218939323583617	0.19380603278207958	0.24165788362746454	0.25234669035461965	1.7745126919117913	0.5256200028311814	0.0028909780276309294	-5121.15822874081	-223.92888508194804
300000	-7674.421644743773	-2554.616733074755	-5119.804911669018	17.831232179188746	4.0621993527863625	3.7526256611634206	11.710050802644597	5.650020425220508	2.4339857598245924	11.266690075349386	10.6968111987124	5.24171527269035	1.7414230512305955	1.9636491316905191	10.0	19.0	1.0	18.0	11.0	2.0	6.0	12.0	4.0	11.0	0.15512500214928032	0.7436730672444131	0.05720005193348634	0.01575857083090892	0.14139357717950238	0.34643499806726796	0.20237549708364921	0.2203198309125844	0.23086967393649838	0.7222059715278935	0.41577744432189107	0.0027127948890159816	-5119.804911669018	-222.23135055358756
400000	-7645.037369868989	-2534.939439651944	-5110.097930217045	18.59975803688921	13.605039644641181	0.6867503229406741	2.7930195989073328	1.1506578833605292	3.3716929643067775	6.668174291305456	14.189412414126153	1.8321512046124997	3.146344663703133	3.5773211241292575	9.0	8.0	1.0	3.0	35.0	8.0	5.0	2.0	7.0	16.0	0.20707424061298435	0.9742650358332694	0.06086455343754503	0.04387061568906585	0.09834939984344146	0.3462003762993073	0.1928031768735785	0.2164713737441427	0.24452507308297153	0.46018256945408087	0.13513293830280226	0.002525771672504312	-5110.097930217045	-202.46293096694995
500000	-7683.391157420951	-2549.754845849831	-5133.636311571119	17.107111740251792	15.40750711649364	4.943412158284177	2.7434202112148673	10.959063731705603	2.749879003233105	2.865604113233263	1.7493191502103356	3.046420976855679	12.376627531968703	2.2625444101868033	6.0	3.0	17.0	3.0	5.0	16.0	6.0	2.0	13.0	23.0	0.19371795193152364	0.8697355516178199	0.09658325155915135	0.03222363393358012	0.0796502509889113	0.34319984633069506	0.18126495402924742	0.22545001997044248	0.250085179669615	0.30262063119837646	0.08553373332882364	0.002690576316142978	-5133.636311571119	-216.41829183131568
600000	-7651.140032117568	-2525.56262740206	-5125.577404715508	17.23978964548849	7.297978352609331	2.0884872679700726	1.0593324335161602	1.1565535794631496	5.056378662339614	0.8151599003252501	2.2274683005753366	3.9921472995033933	9.077673707373924	1.9825927449156042	11.0	4.0	4.0	2.0	7.0	6.0	25.0	2.0	7.0	26.0	0.13961921632509272	0.6700371130874777	0.09169804362773044	0.028070680265672738	0.10928479083687387	0.3413902495410554	0.19222307925442356	0.23860894913072342	0.2277777220737977	0.2721625107935032	0.03243701607849579	0.002764789756397016	-5125.577404715508	-198.0671215758203
700000	-7666.9925745124	-2545.118137057517	-5121.874437454883	19.000527316711455	11.773308847137208	1.9425971484210522	3.6238256195656673	3.7019135864199355	3.266507755610758	3.5290765190671998	6.290175641838797	10.427823013492816	0.7762890167230744	3.4633341780242475	7.0	4.0	1.0	3.0	6.0	36.0	3.0	6.0	1.0	27.0	0.14939930108097976	0.9292430248690263	0.08137005101171149	0.03004805345790283	0.0893404408192904	0.34999220089216865	0.18200112310371577	0.21862923938113005	0.24937743662298567	0.7775367021508757	0.2650725759111807	0.002813904481715841	-5121.874437454883	-213.06559744183633
800000	-7669.701703374222	-2537.312828466869	-5132.388874907353	15.993692034892666	1.4269581780271814	4.60418381350278	2.8810777072484335	6.638619253197168	3.4601906597905066	2.1543478121749122	4.539876411220942	6.134642920970042	3.6759777895731363	1.6218496906758406	3.0	7.0	17.0	7.0	5.0	17.0	1.0	11.0	11.0	15.0	0.18852467952654664	0.8207804633884932	0.088082542356777	0.0660617554749629	0.13865197796421655	0.3435123535311013	0.19529293590539754	0.2237992278866801	0.2373954826768211	1.0611668733250694	0.44770050995661564	0.003908283055875314	-5132.388874907353	-207.27290274314714
900000	-7668.9077609535125	-2559.0018662664997	-5109.905894687013	18.785071719758353	11.604990882360617	2.596593856865505	3.482289710788335	3.9971808220147573	10.61651701132104	4.911304977205619	2.603315415275029	7.402270191018451	3.181210953909835	3.5532763549406385	5.0	9.0	13.0	3.0	2.0	9.0	18.0	3.0	1.0	31.0	0.13339649055676714	0.9371151683083454	0.06353583583353575	0.017627410596192054	0.1371175428407834	0.3338818034632492	0.1843615432722148	0.23802214765707747	0.2437345056074584	0.5579399725849343	0.275429437453389	0.0026463499861578963	-5109.905894687013	-228.0685574540109
1000000	-7677.138174663298	-2558.251478416714	-5118.8866962465845	16.97080150967585	8.729946550490329	2.6442809581355595	8.835629833477219	9.019646455827537	0.47162089225280446	1.504509277900843	2.1921322850631966	4.835355839420646	1.3239134097094434	1.567356233254048	3.0	2.0	5.0	3.0	5.0	4.0	7.0	54.0	1.0	10.0	0.12492170136515496	0.7232389917778772	0.05528330190108957	0.034395163798995	0.1065505755638125	0.3345157418904098	0.19035427976639863	0.2228117754344238	0.2523182029087675	1.6668427048560164	0.4430084273235968	0.002923096979058226	-5118.8866962465845	-227.46053862300627
1100000	-7657.724728706595	-2531.430237606825	-5126.29449109977	15.039359810992309	4.347608419847141	1.8743675381519784	2.6294560883030433	2.2433023127330065	3.361921480623431	4.151099304582837	7.67251792089184	2.1472544739612602	2.409288757070708	1.7074206682389226	11.0	11.0	8.0	16.0	9.0	12.0	1.0	11.0	7.0	8.0	0.17161825993958793	0.6903740002277707	0.051758107687316555	0.00996709973599254	0.15651923490175096	0.3349234503826165	0.197286415750864	0.22420296673325532	0.24358716713326387	0.5726026476525503	0.1527762373995542	0.0033294362335996707	-5126.29449109977	-207.4107150441866
