# BEAST v1.7.5
# Generated Tue Jul 30 22:03:46 EDT 2013 [seed=1375236190280]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	skyline
0	-8713.756405200582	-2813.4270716457495	-5900.329333554832	10.940531534653212	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.01	-5900.329333554832	-443.23079272288646
100000	-7650.516518932758	-2541.6406779834483	-5108.875840949309	20.02213615644841	3.4898421057540387	4.156685741966913	2.2684285187877022	2.3461996014755924	6.556276148871212	17.639646528236174	2.756841676697216	2.2112604700350964	2.325651475544412	3.5977121143632647	20.0	1.0	30.0	7.0	2.0	7.0	1.0	11.0	5.0	10.0	0.11879117074056632	0.8384556430385034	0.07626269635380682	0.02581228766801608	0.16161147747655197	0.34210062951463754	0.1806323582582903	0.21638010484020204	0.2608869073868704	0.6332054453275565	0.4454442508273523	0.002926552616267313	-5108.875840949309	-212.5826189240163
200000	-7641.5704897024625	-2520.932225200973	-5120.63826450149	16.851289896143097	4.637408813976741	1.7015403188471598	3.9631004369600964	2.4239562370640284	8.197355494906384	1.8127974552910133	0.8819359703332611	2.9867402205665097	2.324122087625043	3.3615064852536003	10.0	13.0	24.0	11.0	10.0	5.0	9.0	3.0	1.0	8.0	0.20502195377845545	0.746313669798641	0.0631730375987654	0.022777425417517705	0.14870498080638647	0.34186535418925784	0.18122362739042167	0.22912117548134261	0.24778984293897804	0.8168794733524943	0.4192646842720879	0.0030782722934075816	-5120.63826450149	-192.90521346595992
300000	-7657.838144825313	-2554.2997429018596	-5103.538401923453	18.564256448179165	12.76674237627272	2.707953948355292	3.671542652071817	7.3894709317283445	4.446698668407103	7.95403957962053	3.6135133271487168	3.5966568604674656	2.694372051372382	2.7041944363369064	8.0	13.0	38.0	6.0	1.0	2.0	1.0	9.0	9.0	7.0	0.12882691084910944	0.6449445099420272	0.05299201024017476	0.01658608996777409	0.08847440042456116	0.33968925789973586	0.18487139597738797	0.23567604559146943	0.23976330053140688	0.4677141389673118	0.3422392275888664	0.002740077182760574	-5103.538401923453	-226.22839524457382
400000	-7648.807451441928	-2544.132108915888	-5104.67534252604	17.75385118309509	4.3941030766587375	4.535793538099904	1.7728351211995672	3.4605591765364077	4.999066408851118	3.112620563919086	5.577338031158318	5.648737610925748	3.8039600794376427	3.0270042492332747	5.0	10.0	6.0	16.0	2.0	16.0	9.0	6.0	20.0	4.0	0.13087234167938733	0.8523091912176766	0.07988066648698433	0.030427643464986665	0.16342810760843426	0.35951611104134634	0.17100051613223338	0.23553705270881672	0.23394632011760366	0.387244670444054	0.1574254551956788	0.003084145918346579	-5104.67534252604	-216.52262506522897
500000	-7611.412140766031	-2511.9160528700027	-5099.496087896029	16.00149081196839	2.5248672488147266	2.440573480554695	1.3574882385226374	0.9286215245769387	1.0426085058238852	2.9333229026460197	6.359251245526979	2.5448709775822724	3.109503043106131	2.5286490047486554	13.0	31.0	7.0	4.0	2.0	1.0	11.0	16.0	3.0	6.0	0.14472031659962437	0.7306671486293811	0.07288882484653107	0.0383184949749727	0.13189720047086306	0.3391004047283262	0.18209461381526096	0.2265740797869594	0.25223090166945356	0.39459720837198853	0.17139008043023854	0.003333787890348099	-5099.496087896029	-189.19673949487867
600000	-7655.801499580333	-2558.208579475719	-5097.592920104614	21.30852590933395	7.179913340941849	3.7944383405026265	1.1752003883866493	2.2501211285423968	3.4053874894406215	2.8050050238118724	3.37079547752877	4.636302926972595	1.8550239805759527	1.490534794419046	10.0	4.0	8.0	4.0	13.0	15.0	1.0	32.0	3.0	4.0	0.19991547084194042	0.799556131254562	0.07162652977541151	0.027715763025687526	0.1322399929729583	0.3475695298496665	0.18931126713932006	0.213687242247239	0.2494319607637746	1.0045920361967466	0.489456273379304	0.002492283512227063	-5097.592920104614	-232.20658589365925
700000	-7659.436760475441	-2546.911547720712	-5112.525212754729	16.670403511470145	15.402532973621074	5.135619585616973	1.8884040158144442	1.4869015806303398	2.7135473185378713	3.8664997095858986	9.404732021011137	2.590001637123913	3.4353061809424807	4.937726657329841	8.0	3.0	1.0	3.0	23.0	22.0	10.0	2.0	10.0	12.0	0.15198561883263517	0.9829252241504518	0.04135515002709313	0.026895413538097587	0.12673526235079324	0.35728273706176483	0.1801997041861812	0.21631681987740892	0.24620073887464528	0.6458871383295677	0.09670440324721784	0.0030802802948845212	-5112.525212754729	-217.89912357326
800000	-7648.2837438102	-2543.0101114770396	-5105.27363233316	16.49441348892465	8.727519460625333	9.433451676374355	9.389260208060705	3.125948785125283	2.6467693087179844	3.66321042233443	3.2532935943723125	6.730510941812254	2.8275427833183024	2.5246734929123265	1.0	3.0	5.0	5.0	12.0	3.0	28.0	13.0	8.0	16.0	0.20593448395936415	0.7998224760361805	0.10695598526533827	0.051212868777747375	0.100006141564767	0.35072821375957053	0.18305706228681362	0.23540998419283696	0.23080473976077914	0.5383687826413494	0.2657004260647518	0.0029188552493275687	-5105.27363233316	-212.68929785878348
900000	-7642.08166598644	-2530.465872997511	-5111.61579298893	16.484349257785347	4.5308892783156836	6.576941530527777	3.106374139870146	1.5272085440725742	2.5101850639691103	2.347462419762271	3.397461542258562	7.095077166919106	1.2676108291068477	5.967209489874055	8.0	6.0	4.0	2.0	6.0	13.0	20.0	15.0	8.0	12.0	0.14545376219191994	0.815697189747384	0.05280597883936038	0.05869089946614521	0.08874132029619378	0.33792374236497963	0.20593518889063334	0.20488078733989185	0.25126028140449536	0.7062203546205558	0.3116150410195092	0.003233819983812352	-5111.61579298893	-200.9786817384936
