# BEAST v1.7.5
# Generated Tue Jul 30 15:19:29 EDT 2013 [seed=1375211953135]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	skyline
0	-8678.708527123734	-2963.039837382411	-5715.668689741322	10.94056455575198	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	8.0	8.0	8.0	8.0	8.0	8.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.01	-5715.668689741322	-357.979878974155
1000	-8119.411692135831	-2896.9977846615393	-5222.413907474292	16.113489576708943	44.35075302558628	55.607127285826266	59.38675417111978	52.230683667911855	63.636944161124944	48.05334506727381	38.806965678561156	47.31384846130861	69.20396753227732	26.79546412263643	8.0	4.0	5.0	10.0	9.0	11.0	8.0	6.0	1.0	14.0	1.0	1.0	0.7519408924451572	0.8992742857346367	1.0	0.2500000001	0.24111711140930267	0.2500000001	0.2588828883906973	0.4967806450574503	0.5	0.0027979891174431193	-5222.413907474292	-299.88395152734796
2000	-8020.1690078257425	-2853.2747252235185	-5166.894282602224	15.592337060175494	32.87325627585661	92.49553232218265	53.14126980584107	26.445207310156693	26.613070994471695	20.27116553707259	29.060317651798947	30.30734798190171	41.43820268561685	13.98636256194947	3.0	1.0	3.0	12.0	6.0	10.0	10.0	4.0	6.0	21.0	1.0	1.1637610857818421	0.7519408924451572	0.5306878306134288	1.0	0.25439917890978647	0.23671793259951618	0.2500000001	0.2588828883906973	0.4967806450574503	0.45428573536527345	0.0027471744134352624	-5166.894282602224	-259.62695546617493
3000	-7963.125670804438	-2820.9678640158495	-5142.1578067885885	17.99507336591802	21.344940469591528	36.90622632622646	29.830384485809116	8.866721684468972	14.328131456379607	15.23869655362193	20.48760187287492	32.341931859318	19.69354521249846	7.7670861661525095	2.0	1.0	4.0	16.0	8.0	3.0	15.0	2.0	1.0	24.0	1.0	1.4722832557136651	0.7519408924451572	0.5082812657005695	1.0	0.25439917890978647	0.23671793259951618	0.2584870127980851	0.2503958756926122	0.5053467291701293	0.45428573536527345	0.0026324125364674314	-5142.1578067885885	-232.88783477784452
4000	-7907.8936239528175	-2802.1876997261297	-5105.705924226688	17.005403219741982	28.14947055011974	11.955609672901838	20.98659437944091	5.6445277456996275	7.99180693623504	7.8533607977534805	10.524365945724862	26.776817326089617	17.89192327626492	5.580803406035173	3.0	3.0	2.0	16.0	2.0	9.0	12.0	3.0	3.0	23.0	0.9060288455485161	1.4722832557136651	0.6935769786392796	0.47675870989079416	1.0	0.2545106939786324	0.23671793259951618	0.2583754977292392	0.2503958756926122	0.5053467291701293	0.45428573536527345	0.0024847376200130174	-5105.705924226688	-217.6603533860581
5000	-7847.250605483065	-2782.4058569563563	-5064.844748526709	19.31608651607336	17.305109641920303	16.625170904841042	18.281286386823556	4.333707516798571	5.820384121541918	5.212671104360206	5.127742853069532	27.414428040116615	22.616828238372523	6.839280833084191	6.0	1.0	4.0	15.0	3.0	11.0	9.0	2.0	1.0	24.0	0.9060288455485161	1.6819341968837347	0.6935769786392796	0.47675870989079416	0.6992975105504289	0.2545106939786324	0.23893606694171043	0.2600170185778813	0.24653622050177582	0.5053467291701293	0.45428573536527345	0.002432111934153474	-5064.844748526709	-198.0637216455053
6000	-7818.42048076189	-2784.3094764316675	-5034.111004330222	18.496843867632986	6.420120418945833	9.759350421555522	16.60231529964424	5.127896572381421	4.776440923597256	4.303675134069728	6.5834558521977184	19.943078712194847	32.586612744137916	7.782042412710424	6.0	4.0	3.0	15.0	6.0	11.0	5.0	1.0	2.0	23.0	0.9060288455485161	1.6819341968837347	0.6113571893956067	0.30928061659768236	0.6992975105504289	0.2545106939786324	0.23893606694171043	0.2600170185778813	0.24653622050177582	0.5470357683309499	0.48695599889205093	0.002052205350585275	-5034.111004330222	-203.17517781099585
7000	-7794.3441540575295	-2777.4543953037564	-5016.889758753773	21.051350140577988	7.4743415394774235	7.289932465090412	9.261507193104196	4.3896815671183775	3.0833938516582085	2.575021194924315	11.090404303943513	24.731196836228886	42.86950775858069	5.514322183757904	6.0	1.0	3.0	17.0	8.0	12.0	4.0	1.0	1.0	23.0	0.9060288455485161	1.8370880499920774	0.4656911063358737	0.30928061659768236	0.6992975105504289	0.2545106939786324	0.23893606694171043	0.2600170185778813	0.24653622050177582	0.6488637778200484	0.48695599889205093	0.0021894237312562776	-5016.889758753773	-196.10326416757246
8000	-7783.534547443662	-2776.455281833954	-5007.079265609707	20.64880825423998	13.878931713904954	19.538073808663984	3.127223120331701	2.565436733490577	1.3842534441622185	1.9598927493510805	10.901691662772796	48.08135180843512	17.966582833518956	7.3633706546043625	4.0	5.0	1.0	21.0	4.0	13.0	3.0	1.0	3.0	21.0	0.7428035335359254	1.8370880499920774	0.42866531663986757	0.30928061659768236	0.6140035151621538	0.25725683976990477	0.22639702794375166	0.2600170185778813	0.25632911370846223	0.6488637778200484	0.48695599889205093	0.0020776476636452613	-5007.079265609707	-193.77497852092839
9000	-7774.735846245749	-2778.5765879132837	-4996.1592583324655	20.038575824330675	9.987401959012153	22.65986277340419	3.726435865380815	2.507785863186982	2.4608897202998667	3.462772289582921	14.000147217925553	39.75265004218814	23.12086682848545	9.698730501651559	4.0	3.0	3.0	21.0	2.0	14.0	4.0	2.0	1.0	22.0	0.673213256394698	2.755649039489097	0.42866531663986757	0.25540244545580665	0.6140035151621538	0.26643516924659044	0.22639702794375166	0.2508386891011956	0.25632911370846223	0.6488637778200484	0.48695599889205093	0.0019047033859664602	-4996.1592583324655	-196.37504668362695
10000	-7745.436088535117	-2783.233016861709	-4962.203071673408	19.65087200447582	14.794467994298193	25.903942928609435	3.318061041865977	2.520209793037625	4.504034039593803	3.6448688398502536	6.05406931191344	30.889807702575126	31.552419076424254	6.418658204567236	4.0	4.0	3.0	23.0	2.0	7.0	6.0	3.0	2.0	22.0	0.673213256394698	2.755649039489097	0.42866531663986757	0.2571162452089183	0.6140035151621538	0.26643516924659044	0.22639702794375166	0.2433326987117873	0.26383510409787053	0.6488637778200484	0.48695599889205093	0.0018448502814415655	-4962.203071673408	-200.49552088997248
11000	-7745.791618043959	-2776.270932355	-4969.520685688959	19.860313338773132	12.155211606013435	33.806227745245266	3.769740857980173	3.0461641810671285	2.904029693278951	3.2560092093128037	12.443150498075855	28.794979822484823	9.876118712411605	7.574054356067746	5.0	2.0	3.0	22.0	6.0	7.0	6.0	1.0	1.0	23.0	0.673213256394698	2.755649039489097	0.37024624221945723	0.2571162452089183	0.6140035151621538	0.26643516924659044	0.22639702794375166	0.24517232232613342	0.26199548048352445	0.6488637778200484	0.48695599889205093	0.001978098444681364	-4969.520685688959	-194.75326663835844
12000	-7720.129245382216	-2773.0646494921903	-4947.064595890026	23.05236595413553	6.89271906055246	29.812440198901704	2.8440632651822217	4.399057853664616	1.52674647047038	1.861746983055507	8.738699715766641	3.449380517563481	17.77482883811266	11.178368783803194	4.0	2.0	7.0	18.0	6.0	9.0	4.0	4.0	2.0	20.0	0.673213256394698	2.755649039489097	0.3670645319144162	0.20167849604477636	0.6140035151621538	0.26643516924659044	0.22639702794375166	0.23447271463574787	0.27269508817390997	0.9634263237042211	0.48695599889205093	0.0018504468431454566	-4947.064595890026	-190.04350765684174
13000	-7702.415608903081	-2769.27845824162	-4933.137150661461	22.84351799446436	13.13995879694212	12.130336796144265	1.2371736138587492	2.7661663983593687	0.8295144697348127	3.4701681212646003	6.259165027583932	4.763543862062389	5.262955907606414	9.012803892871005	5.0	3.0	5.0	19.0	7.0	9.0	5.0	1.0	1.0	21.0	0.673213256394698	2.7496909536321517	0.3134549629673418	0.20167849604477636	0.5881179399085509	0.26643516924659044	0.22639702794375166	0.23447271463574787	0.27269508817390997	0.9634263237042211	0.38880875224823075	0.0019901823138585195	-4933.137150661461	-193.8570071670068
14000	-7717.8243358292775	-2772.282624119539	-4945.541711709739	20.81862384846672	17.497581104714826	17.02516089759006	0.8749086746383085	2.6709778322809345	1.6548356464385092	3.907369974308705	7.252336612613546	7.210982154239032	8.513690035498435	5.668110330929334	4.0	3.0	6.0	18.0	5.0	9.0	4.0	1.0	1.0	25.0	0.673213256394698	2.7496909536321517	0.3134549629673418	0.14734176653698644	0.5514749333101613	0.26643516924659044	0.21319672048327523	0.2476730220962243	0.27269508817390997	0.9634263237042211	0.38880875224823075	0.0020265013115122886	-4945.541711709739	-196.21874336677178
15000	-7695.631576720528	-2762.6818956656844	-4932.9496810548435	19.99207328258952	5.731162227638026	12.264910141376346	0.9571395616731391	2.199043368612775	2.76643034422811	6.068755038349017	3.339028469488166	4.133276599555141	7.671346132389182	7.2816922525305925	5.0	3.0	5.0	20.0	5.0	6.0	4.0	3.0	1.0	24.0	0.673213256394698	2.1368662500384183	0.3134549629673418	0.12396270692024959	0.48198423482613323	0.26643516924659044	0.21319672048327523	0.2476730220962243	0.27269508817390997	0.9634263237042211	0.39888370808551155	0.002219991687724966	-4932.9496810548435	-189.53080829927367
16000	-7687.110757858813	-2761.396057048109	-4925.714700810704	18.517776279940517	8.3554719083449	22.648262237756793	3.9295131585577123	2.2062853136127814	2.910864322837103	1.596737199986127	5.910668246240656	5.011451182825705	7.911639336064211	5.619364673788878	5.0	4.0	2.0	22.0	9.0	3.0	6.0	3.0	3.0	19.0	0.673213256394698	2.1368662500384183	0.3134549629673418	0.12396270692024959	0.48198423482613323	0.26643516924659044	0.21319672048327523	0.23633566729149086	0.2840324429786434	0.9634263237042211	0.34478366696353924	0.0022658501580512308	-4925.714700810704	-186.36032612538148
17000	-7679.897133731729	-2749.664826543459	-4930.232307188269	20.03922381670899	10.08069692781373	10.736542919561197	3.604846509194047	1.798711874210891	1.5744402639682977	3.4918065504759883	6.488834572550377	14.335540908706095	5.340500181298658	5.883536467060151	5.0	3.0	1.0	26.0	8.0	2.0	7.0	8.0	1.0	15.0	0.673213256394698	2.1368662500384183	0.2810935215631838	0.11177098685506472	0.43683759947318385	0.26643516924659044	0.21319672048327523	0.23633566729149086	0.2840324429786434	0.9634263237042211	0.34478366696353924	0.0023218893161159803	-4930.232307188269	-176.29295229135428
18000	-7661.7970433113915	-2748.3717551639543	-4913.425288147438	18.96198202358708	9.638907777947171	8.798105509247018	6.9050233821704845	1.947582811244833	3.1157361097010488	2.663732972024786	7.873746809058865	8.967607242778756	2.4709294579096457	4.384841869845834	6.0	2.0	1.0	24.0	8.0	4.0	3.0	6.0	6.0	16.0	0.6584151603440085	2.0527250706859856	0.2810935215631838	0.09334801185134037	0.3330842495948003	0.28265814494921015	0.19697374478065555	0.23633566729149086	0.2840324429786434	1.0516372532182392	0.34478366696353924	0.0022398950904240125	-4913.425288147438	-175.47851148777622
19000	-7655.023070983314	-2750.9506794373633	-4904.07239154595	18.4334728518552	11.733129353318638	9.060904817783776	3.9222976474668854	2.0812607748407026	2.5873997908143163	4.897041531046526	6.262662444151275	7.62151585832348	2.913857445065108	6.452630764334219	5.0	4.0	1.0	28.0	4.0	4.0	5.0	5.0	4.0	16.0	0.562493093465346	2.0527250706859856	0.2810935215631838	0.09334801185134037	0.3330842495948003	0.28265814494921015	0.21457195612302604	0.23633566729149086	0.2664342316362729	0.5918238207935371	0.34478366696353924	0.002399788019335201	-4904.07239154595	-179.6314770598582
20000	-7659.2396751182605	-2752.474477233713	-4906.765197884548	19.328296376506003	8.90855091682689	14.4232298886002	7.345955002963156	1.8480057371893313	2.812614748380892	1.8131351428038398	5.075270694476305	20.301931704488748	4.601736681170107	6.795895345864851	5.0	1.0	3.0	28.0	5.0	2.0	5.0	4.0	7.0	16.0	0.562493093465346	2.0527250706859856	0.2595271494620278	0.09027212723086263	0.3330842495948003	0.2886208968051299	0.21457195612302604	0.23633566729149086	0.2604714797803531	0.5918238207935371	0.34478366696353924	0.002359268323423509	-4906.765197884548	-177.44125547993457
21000	-7654.831683859247	-2739.870798004099	-4914.960885855148	17.757642863990768	23.66812749718093	19.989347793890744	3.7908892433132624	1.4493503272177417	1.52762132156755	2.576185725755996	5.734405722668703	10.83681510419372	3.203184561632328	4.5758615783210095	4.0	1.0	4.0	24.0	10.0	1.0	7.0	3.0	8.0	14.0	0.5701964645764458	2.0527250706859856	0.2595271494620278	0.0873081753409437	0.3330842495948003	0.2886208968051299	0.20927837573980013	0.24162924767471677	0.2604714797803531	0.5918238207935371	0.3334424455335706	0.002625752396916613	-4914.960885855148	-167.6595036699287
22000	-7648.330129617253	-2738.885202391253	-4909.444927226	19.652051333916912	9.419849281950297	12.261418453162626	3.097256629186807	1.6611361257478832	1.2660308124339987	5.342740221203407	5.2588464087551525	6.008260515199882	1.8725098342713844	6.814091118381996	3.0	2.0	5.0	26.0	10.0	3.0	3.0	1.0	10.0	13.0	0.5701964645764458	1.8028418007400155	0.2595271494620278	0.08982438089083664	0.3330842495948003	0.2886208968051299	0.20927837573980013	0.24162924767471677	0.2604714797803531	0.48873850395626817	0.3334424455335706	0.0029259590095392987	-4909.444927226	-166.90385659601174
23000	-7642.894132055196	-2741.3592083279746	-4901.534923727221	18.725132581739693	11.05865381015106	11.205929024662407	1.7418800723323113	1.2158093133751735	1.4399853966205494	2.4853666126494054	4.366730293667834	5.604866252235043	5.199482203957518	9.282933547352714	3.0	5.0	8.0	27.0	5.0	2.0	7.0	1.0	6.0	12.0	0.5701964645764458	1.8028418007400155	0.21526072743685243	0.055599130802966294	0.3330842495948003	0.2886208968051299	0.20927837573980013	0.24162924767471677	0.2604714797803531	0.48873850395626817	0.3334424455335706	0.002353294166319972	-4901.534923727221	-173.16627087696335
24000	-7650.215668837194	-2738.6664293430094	-4911.549239494185	18.425228146033486	6.118857189361493	10.281349677512235	4.947493720557484	1.8285750531654739	1.7821372343985444	2.286988061747458	3.5462601600290773	3.038109450697629	4.418919066140927	9.92797221251567	4.0	4.0	9.0	28.0	3.0	1.0	6.0	4.0	3.0	14.0	0.5701964645764458	1.8028418007400155	0.21526072743685243	0.055599130802966294	0.3330842495948003	0.2886208968051299	0.20927837573980013	0.24162924767471677	0.2604714797803531	0.5640936704863103	0.3334424455335706	0.002463239138693447	-4911.549239494185	-170.62686343138705
25000	-7640.214197710366	-2732.902791870406	-4907.31140583996	19.244942928418165	4.143816934212043	10.696688493656989	1.7894765189927118	1.2807265993992965	2.382489708333277	3.009586706020291	5.902353544389525	2.8505456445017523	3.538017919874024	6.707087371197355	8.0	2.0	7.0	30.0	3.0	1.0	7.0	2.0	3.0	13.0	0.43067230390868483	1.8028418007400155	0.21526072743685243	0.05984746504133061	0.3330842495948003	0.2886208968051299	0.20905109374532763	0.21908444027829457	0.2832435691712478	0.5640936704863103	0.3189466811213751	0.0025659234062112425	-4907.31140583996	-165.12672270548464
26000	-7630.502874564562	-2735.4960466261036	-4895.006827938459	17.849659389087734	24.144025128989842	2.6658633156526466	2.8469842316075145	2.3691040465326205	2.0723476130010114	4.2033308445958015	3.1504241804149946	2.7401030776089836	5.2657241058697375	11.65355499926322	4.0	1.0	9.0	34.0	1.0	1.0	6.0	5.0	1.0	14.0	0.43067230390868483	1.8028418007400155	0.1342335121847377	0.04288453214798095	0.3330842495948003	0.2886208968051299	0.20905109374532763	0.21908444027829457	0.2832435691712478	0.5640936704863103	0.3189466811213751	0.0027493646602173697	-4895.006827938459	-166.85650223768238
