# BEAST v1.7.5
# Generated Tue Jul 30 17:22:30 EDT 2013 [seed=1375219331621]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	skyline
0	-10973.171699891844	-2828.037047970519	-8145.134651921325	10.94100424085901	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.01	-8145.134651921325	-457.8407690476557
1000	-10089.75683802649	-2740.25823303569	-7349.4986049908	73.54434450198372	27.204719370611382	61.86067583468006	39.39325331619243	76.12448300279934	47.59836187102667	72.74430652383408	33.85912620429114	58.20209719401404	42.53447522213173	48.87413946599643	13.0	11.0	15.0	4.0	9.0	8.0	10.0	9.0	7.0	11.0	1.0	1.0	0.902886098315685	0.8416630827942297	1.0	0.2500000001	0.2499999999	0.25063272034732476	0.24936727965267527	0.5	0.5	0.004975224617255649	-7349.4986049908	-377.06833982590996
2000	-9920.732891133337	-2692.16079116498	-7228.572099968357	88.13042130015896	12.337329229582702	18.64060204472204	46.32508251914155	110.45013340342821	39.675939544097105	56.261380132445005	14.064477941358936	59.770850335803544	8.321609281643964	16.26581680661561	18.0	9.0	13.0	2.0	11.0	8.0	12.0	8.0	2.0	14.0	0.7849329789949144	1.0	0.7527532928812203	0.8416630827942297	1.0	0.2500000001	0.2499999999	0.25063272034732476	0.24936727965267527	0.5225415406644764	0.5	0.0045755406300891826	-7228.572099968357	-330.8440956399019
3000	-9784.452699036945	-2630.0901544143244	-7154.3625446226215	76.61232903821845	7.927215875814157	6.654219087239867	21.82572640155829	80.97400054245999	22.537533436382496	11.963539272434382	12.471765040926533	39.610473697420076	11.842457943282158	5.8311483324679205	22.0	9.0	10.0	1.0	9.0	7.0	8.0	4.0	8.0	19.0	0.7849329789949144	1.2363725829766419	0.7527532928812203	0.8416630827942297	1.0	0.2500000001	0.2499999999	0.24463516681335726	0.25536483318664277	0.5625053903158319	0.5	0.0042517442268586066	-7154.3625446226215	-274.85315441206194
4000	-9700.039738016447	-2594.298496993641	-7105.741241022805	67.33437153520453	5.5398729864407	7.136599417899791	12.057313082130282	37.5689068166076	12.826788585149535	5.987368269645631	9.376132274412916	34.362251599583615	4.751957205893924	5.059066973977093	26.0	11.0	4.0	1.0	8.0	8.0	8.0	1.0	8.0	22.0	0.7849329789949144	1.5286339307562815	0.7238452098542895	0.8416630827942297	1.0	0.2500000001	0.2499999999	0.24463516681335726	0.25536483318664277	0.5625053903158319	0.5	0.003772708882831617	-7105.741241022805	-243.80274259169713
5000	-9596.780150416369	-2571.1917401836754	-7025.588410232694	66.76822488860064	4.264105906722785	4.824163049058737	10.79653194793038	36.81497763463255	7.689860038511743	1.2870677836828068	8.557614469085218	8.665876801950883	2.5768079695021555	3.679103083192376	23.0	11.0	2.0	1.0	6.0	7.0	9.0	3.0	11.0	24.0	0.7820258328738882	1.5286339307562815	0.5146044700014969	0.8216517773539964	0.8943628587893091	0.2500000001	0.2499999999	0.24463516681335726	0.25536483318664277	0.5625053903158319	0.5	0.00400961595174118	-7025.588410232694	-223.15533228011031
6000	-9506.677937614817	-2573.640848377557	-6933.03708923726	66.73748727799004	4.696689685897949	2.9455579025637757	10.154661804014932	20.994520395827646	10.028090047607115	3.4109990201188256	6.518288618539768	7.081389105709436	1.8137791310854057	3.6811427528678484	21.0	11.0	2.0	1.0	7.0	10.0	8.0	4.0	10.0	23.0	0.6562177870053041	2.5221940722282206	0.5589134579390819	0.6375264939020594	0.8943628587893091	0.2500000001	0.2499999999	0.24463516681335726	0.25536483318664277	0.5625053903158319	0.5	0.0037697601249439858	-6933.03708923726	-230.24225989288587
7000	-9479.572346688972	-2572.301905132735	-6907.2704415562375	81.0693063998693	6.517887263476933	2.1669736678994114	10.300783831049577	11.205936735661012	4.7819916637277835	3.4992203420354766	5.692615375488992	12.960440393460129	1.037245186376986	5.207223809346283	22.0	13.0	2.0	3.0	8.0	9.0	8.0	3.0	11.0	18.0	0.6562177870053041	2.5221940722282206	0.5589134579390819	0.6375264939020594	0.8943628587893091	0.2500000001	0.2499999999	0.24463516681335726	0.25536483318664277	0.5625053903158319	0.5	0.0037137335088751004	-6907.2704415562375	-225.88001697803148
8000	-9454.665331948523	-2562.6145856602357	-6892.050746288288	64.43471448581538	3.841792917677727	2.375803047261913	4.994501431828464	4.397648786837858	4.300437277268271	4.597828730617791	11.05222626204163	3.08234123156338	1.430195877469132	5.031762462338695	20.0	14.0	4.0	3.0	8.0	9.0	4.0	4.0	13.0	18.0	0.5070726153235922	2.5221940722282206	0.5589134579390819	0.6375264939020594	0.8943628587893091	0.2531226087138171	0.2559594508850616	0.23867571582829564	0.2522422245728257	0.5625053903158319	0.5	0.0036458502390271943	-6892.050746288288	-223.38470161904834
9000	-9413.465516841288	-2562.450871266287	-6851.014645575002	70.9527401138005	4.2757903088209686	3.6834145376856386	3.554833815348306	3.7194372887504565	3.8523167393633453	4.069132859774334	7.375003853030633	3.7732672154948568	1.254614247639523	3.5885589557332107	17.0	16.0	1.0	4.0	8.0	12.0	3.0	5.0	13.0	18.0	0.5032040827766301	3.2659283553722327	0.5589134579390819	0.6375264939020594	0.8943628587893091	0.2531226087138171	0.2542729828302613	0.23867571582829564	0.253928692627626	0.5625053903158319	0.5	0.0033289358653997682	-6851.014645575002	-225.1977920249334
