# BEAST v1.7.5
# Generated Tue Jul 30 21:36:23 EDT 2013 [seed=1375234561830]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	skyline
0	-8975.550877148124	-2818.135024674802	-6157.415852473322	10.940577643916352	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.01	-6157.415852473322	-447.93874575193877
1000	-8466.032898669097	-2747.335295093897	-5718.6976035751995	15.04970593957682	66.69533695781553	67.44843598732896	42.20069246194656	47.69607152909804	40.7066429074366	34.724263869208954	46.66090907396374	89.19757860524705	41.15631650022101	73.63842069167035	8.0	15.0	14.0	10.0	10.0	11.0	10.0	7.0	9.0	1.0	1.002642201116335	1.215153007909886	0.863911256107249	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.47961928716967284	0.003769973105111778	-5718.6976035751995	-383.5941650600365
2000	-8262.736240931594	-2671.050948124387	-5591.685292807208	14.73428699074755	51.22123839213395	29.54652155398058	16.060751337102182	11.001754601045047	15.059166145051595	23.27162141561373	35.40109096540345	67.34253375574666	21.848274605555773	41.38898179885934	6.0	15.0	11.0	12.0	16.0	12.0	6.0	1.0	10.0	6.0	0.892548443455962	1.2109611563898046	0.863911256107249	0.8084276964914231	0.9681766898474082	0.2500000001	0.24229339867985636	0.25770660132014367	0.2499999999	0.6327623292077222	0.4343062341868291	0.003326711382242339	-5591.685292807208	-313.4135097459321
3000	-8163.045087959908	-2614.569940140119	-5548.4751478197895	16.076814729549	12.753426039021889	6.1776271574937285	7.854042515955404	3.450400000881979	8.758271010809421	26.863865307052045	9.275855163149814	65.95561723975733	13.722649546126416	39.313771157171644	8.0	13.0	16.0	14.0	11.0	6.0	9.0	1.0	12.0	5.0	0.892548443455962	1.2109611563898046	0.863911256107249	0.8084276964914231	0.9695042656992285	0.2500000001	0.24229339867985636	0.25770660132014367	0.2499999999	0.6327623292077222	0.4343062341868291	0.0026789195717818242	-5548.4751478197895	-257.40788653172035
4000	-8102.5535367828215	-2601.0355828232487	-5501.517953959573	16.690194782315775	12.062706597166315	3.722029462219336	8.93135954595938	3.9293058872643987	5.647875841051209	32.18979582065905	7.708893640165498	31.869925645938277	15.633987065564327	16.115171147171743	6.0	15.0	14.0	12.0	11.0	7.0	10.0	1.0	16.0	3.0	0.6745685943177329	1.2109611563898046	0.6778237277251988	0.6081758856139774	1.0032024904497372	0.2500000001	0.24229339867985636	0.25770660132014367	0.2499999999	0.7212407778260201	0.3715474604765057	0.0027805964701975855	-5501.517953959573	-248.03680452501482
5000	-8063.306622069946	-2583.4608156800064	-5479.84580638994	16.49567867077402	9.967468534252426	2.247070468687693	3.376510578693849	2.7998999416335977	5.459359013199297	39.957359182588796	12.44296303092971	9.791113300745494	5.688562684385181	12.383934075585744	7.0	16.0	12.0	14.0	10.0	8.0	5.0	3.0	18.0	2.0	0.6228260104965173	1.2109611563898046	0.6778237277251988	0.46832754816933686	1.0353336603917893	0.25507452198934716	0.2372188767905092	0.25770660132014367	0.2499999999	0.723083635466485	0.3715474604765057	0.0031512832453598955	-5479.84580638994	-234.99385861478603
6000	-8010.208522944893	-2567.144338267525	-5443.064184677368	17.500751237623547	5.5056032120061955	2.7249254081554635	3.190728864621675	2.2086757254178333	2.8545843350606805	11.034303268954652	9.052189291327593	7.319079435117258	3.3297376233571034	5.824302612625302	8.0	14.0	11.0	11.0	13.0	5.0	6.0	3.0	21.0	3.0	0.6228260104965173	1.2109611563898046	0.4993498061021269	0.435127959384904	0.78686852182221	0.262037761482538	0.22649039265239457	0.25770660132014367	0.2537652445449238	0.723083635466485	0.3514610741103917	0.0030242550907389975	-5443.064184677368	-228.04567729462977
7000	-7992.506447414612	-2558.2778585943333	-5434.228588820279	16.025725256929103	10.27108390045102	3.3685098402375933	3.199893650942043	1.4964161970420944	2.0299919684622223	6.39390436568851	16.40317134594683	2.515781145985698	2.9031147006803026	5.617123057179243	5.0	18.0	13.0	5.0	14.0	3.0	5.0	2.0	24.0	6.0	0.6228260104965173	1.2109611563898046	0.44227391550673717	0.41132015118747706	0.8025131151736682	0.262037761482538	0.22649039265239457	0.25770660132014367	0.2537652445449238	0.723083635466485	0.3514610741103917	0.002812002390001858	-5434.228588820279	-219.04973421163376
8000	-7958.508951662887	-2559.206781692002	-5399.302169970885	15.806707091444318	8.495913393242983	3.311854029696768	2.8362682655206557	3.1616657310841996	2.717004357487744	5.304183058009206	11.831589351589171	2.2504406320789183	3.311176214419806	9.370555333257112	5.0	21.0	13.0	5.0	14.0	1.0	5.0	7.0	22.0	2.0	0.6228260104965173	1.5062783245507563	0.44227391550673717	0.26178540089083385	0.8025131151736682	0.263710225073866	0.22649039265239457	0.25770660132014367	0.2520927809535958	0.8675550533274576	0.3514610741103917	0.0028839723369296546	-5399.302169970885	-220.04769730369796
9000	-7951.284625297214	-2555.391597503695	-5395.89302779352	15.802254861365277	6.95226148056667	2.8133594787868943	3.0635100888101747	3.8515299434007044	4.50617546806533	3.4630580658522536	9.157149022590126	1.5453821536703862	3.4886882900301295	3.8537724421971764	4.0	19.0	17.0	6.0	11.0	2.0	2.0	6.0	25.0	3.0	0.6228260104965173	1.5062783245507563	0.44227391550673717	0.26178540089083385	0.7551565457623765	0.263710225073866	0.21735902467430915	0.25770660132014367	0.2612241489316812	1.1775764370743287	0.3514610741103917	0.0030788701446604386	-5395.89302779352	-217.49523343314814
10000	-7934.298419503449	-2552.968532489156	-5381.329887014293	15.781442958806158	10.269839559334757	3.1739186465334512	3.816195047236236	3.9639402430568262	3.8153122701404185	3.9394254657596472	10.379213114483555	1.9118660377877001	2.992786837550462	3.8130085005691616	5.0	18.0	18.0	5.0	12.0	1.0	2.0	6.0	26.0	2.0	0.6228260104965173	1.5062783245507563	0.44227391550673717	0.2494107380948256	0.5848163279075238	0.263710225073866	0.21735902467430915	0.25770660132014367	0.2612241489316812	1.1775764370743287	0.3514610741103917	0.002930488004978678	-5381.329887014293	-214.74366445925318
11000	-7920.352662071513	-2547.0228379523464	-5373.329824119166	15.719039607009874	12.602870221769503	4.370254051176714	3.1863875079646062	3.0299914509711905	1.7790494613086993	7.124627334452342	11.130993188828429	2.278827012354135	3.9230040866871074	5.501865044866092	3.0	19.0	18.0	5.0	13.0	1.0	3.0	5.0	25.0	3.0	0.6228260104965173	1.6611654286284172	0.4169873129241747	0.2494107380948256	0.35846571548689066	0.263710225073866	0.21735902467430915	0.25770660132014367	0.2612241489316812	1.1775764370743287	0.4487448593609374	0.003145541364311597	-5373.329824119166	-207.31116324901606
12000	-7929.011605962083	-2548.7047766096043	-5380.306829352479	16.33405988461142	4.679776311937772	3.616861077892757	3.6763334547768967	3.150216199658327	2.173453943578655	6.525834159110852	8.323974933282987	5.850472391383923	2.567548165090816	3.4762811975058074	3.0	20.0	22.0	3.0	11.0	2.0	1.0	9.0	21.0	3.0	0.6228260104965173	1.6611654286284172	0.3441895967848195	0.22592923529713949	0.31354851792356464	0.263710225073866	0.21735902467430915	0.25770660132014367	0.2612241489316812	1.1775764370743287	0.4487448593609374	0.002978843117722739	-5380.306829352479	-212.45827915263575
