# BEAST v1.7.5
# Generated Sun Jul 14 20:19:11 EDT 2013 [seed=1373847404074]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	skyline
0	-22496.153997953254	-5662.116250945599	-16834.037747007653	12.408010511429158	120.0	120.0	120.0	120.0	120.0	120.0	120.0	120.0	120.0	120.0	69.0	69.0	69.0	69.0	69.0	68.0	68.0	68.0	68.0	68.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.01	-16834.037747007653	-3291.049858252839
100000	-17498.230482218278	-4022.1532544141146	-13476.077227804162	14.904253587222726	3.710625370251378	9.756999468807793	3.191780234501023	11.18887151558087	4.040991237971608	2.051205177927903	6.889233080704912	3.2295879543550536	4.22934067776484	3.92050441729869	125.0	28.0	67.0	35.0	80.0	44.0	83.0	102.0	81.0	40.0	0.18096828473700471	1.0167312679908451	0.11187876027649839	0.008919072406838926	0.14984723370481987	0.3297317942473132	0.21215852569564062	0.2143945324928318	0.2437151475642143	0.7108244788553342	0.22231308168065012	0.0036156022406033596	-13476.077227804162	-1689.3399644077883
200000	-17196.604417942144	-3911.26578764309	-13285.338630299053	14.298812164064776	3.137686989198134	8.03706496328021	2.990400034043807	12.225574607454625	4.017786038204532	1.7361038329552372	5.302759352272158	2.778613850071503	3.591940008490983	1.668125405155148	124.0	29.0	66.0	40.0	78.0	43.0	107.0	111.0	67.0	20.0	0.17940535736481728	0.8092164001777647	0.08624641661744147	0.015252792999980568	0.1307478959262747	0.3493185762061761	0.1862597838728871	0.22036592450251902	0.24405571541841764	1.307920334946034	0.37881135406832206	0.003743274306339819	-13285.338630299053	-1578.8954877660613
300000	-17082.187878854103	-3827.2755259039227	-13254.91235295018	13.951864344060995	2.505625119457461	10.202072436655165	2.2504525968120195	11.260233544736607	4.578080632404461	1.2290636186754218	3.0299249812397475	2.5157959529716183	3.214340370522582	1.3090130886476297	124.0	31.0	64.0	28.0	91.0	34.0	137.0	81.0	83.0	12.0	0.16630421109192717	0.8780425465427	0.10503846375521339	0.014586282594183665	0.11818557482208411	0.3322021040455414	0.19552950135739308	0.22758230806665491	0.24468608653041038	1.4355586998524512	0.35187901444120007	0.003924830008800202	-13254.91235295018	-1494.3225440212905
400000	-16999.74697972167	-3792.2933011522973	-13207.453678569373	13.707633406130908	2.744112258223223	8.17180894929587	1.9239404668195748	9.445550036984548	4.264024078462509	1.9905650921331406	3.637789854023485	2.3123761423340423	4.232928741442752	0.9864907721962323	124.0	32.0	64.0	22.0	104.0	31.0	112.0	98.0	83.0	15.0	0.18013998281946997	0.9685376625495191	0.08050388822286669	0.03647643422930826	0.12461390992557489	0.3558742447164208	0.19363097431658233	0.21376823025146421	0.2367265507155325	0.6735799706157608	0.1340163640745335	0.004052044369023747	-13207.453678569373	-1460.9915766391468
500000	-16998.245243889098	-3757.7226469689376	-13240.52259692016	13.520384513471551	2.3384707577685306	5.603190393877102	2.3728063602312273	13.801877529441532	3.0765668427122077	1.113485071490164	3.8951437288815307	3.1621306180147535	3.1743763691650884	1.7851693919492195	125.0	37.0	58.0	20.0	114.0	14.0	116.0	106.0	53.0	42.0	0.19634950670625773	0.8747998719253659	0.10405351630162404	0.007132195914487058	0.10617704842652091	0.33973239315571163	0.1868144603962816	0.22054361529390626	0.2529095311541004	0.9428557909611053	0.2539924045292681	0.004577201404920235	-13240.52259692016	-1426.754184131654
600000	-16949.320975294184	-3711.706826428178	-13237.614148866005	13.614846296023856	2.6071271605167237	5.8387051971649715	2.3874026946379354	12.328239143479433	3.199231434556361	1.2168035581409977	4.599583516719977	1.9261433495548117	4.018608232531738	1.8603507505111598	128.0	33.0	58.0	29.0	89.0	41.0	97.0	110.0	73.0	27.0	0.21819164457485127	0.8534350794378178	0.101009038481825	0.008652554462348023	0.1119041752454446	0.34241583899336686	0.19218330381689558	0.2166889289301892	0.24871192825954827	0.967797966318627	0.24720657659208695	0.0047422609834256065	-13237.614148866005	-1380.1159679537311
700000	-16848.8145275509	-3640.1174602377914	-13208.697067313109	13.912866775522934	2.1381423777472084	4.346332916792698	2.206697296269057	10.101416242610902	2.6577550098911993	1.166925441719314	3.194231330036226	1.8901894959624657	2.919803666214984	0.9750455937764891	125.0	29.0	65.0	29.0	97.0	28.0	110.0	99.0	82.0	21.0	0.20845807974706895	0.9244180468858283	0.07950977789928887	0.024221288305872293	0.1476255378751497	0.34401913373835097	0.19128075718564747	0.21978076583148318	0.24491934324451842	0.9631461450063374	0.26630365117699806	0.004666596043571529	-13208.697067313109	-1311.556216897408
800000	-16855.84563378257	-3625.3490274588853	-13230.496606323684	13.655946989909998	1.9000207297538094	4.341537730827517	1.4950719642539323	9.009254925016599	2.6451824472091148	1.680066733052349	2.9787356981166777	1.6996270281696413	4.801737864854146	1.2088762054967817	129.0	6.0	83.0	26.0	121.0	22.0	94.0	101.0	79.0	24.0	0.15285609799635566	0.9576784899460171	0.07856140371622407	0.017133013646828954	0.14877767450169777	0.3630662957990286	0.19608679322350445	0.20330073570329357	0.23754617527417346	1.1241393822464856	0.28201006069345014	0.004591825818789828	-13230.496606323684	-1295.1477885993015
900000	-16902.916802468724	-3658.572815243486	-13244.343987225238	13.981258007988297	1.82440652839117	5.984056812036075	1.969588513969788	8.086638071894628	2.9241210506617383	6.666667558256286	2.363440124180425	2.3248381918885586	3.375896464924824	1.0115931200710822	129.0	4.0	83.0	30.0	141.0	10.0	82.0	109.0	76.0	21.0	0.1732358532064089	0.82903563442213	0.07272942210607644	0.009440060840780019	0.13986860657015573	0.34794009882843996	0.1890737844040657	0.23096187079061464	0.23202424597687976	0.7581006579972065	0.22302427057336385	0.004716637725681044	-13244.343987225238	-1329.76953264232
