ABI92313,16,1995/05/02
ABI20870,0.5,1995/07/31
ABE11867,,1995/11/15
ABE12032,,1995/11/16
ABE26991,23,1995/11/28
ABE11900,,1995/11/30
ABF47638,8,1995/12/02
ABG47840,20,1995/12/04
ABF47627,,1995/12/06
ABE11889,18,1995/12/08
ABG26791,26,1995/12/11
ABI20837,,1995/12/11
ABG26780,20,1995/12/12
ABF47605,,1995/12/13
ABE11878,6,1995/12/14
ABG88322,59,1995/12/15
ABJ53438,6,1995/12/15
ABI30367,7,1995/12/18
ABE11922,10,1995/12/23
ABE11942,5,1995/12/27
ABG88311,75,1995/12/27
ABG88300,48,1995/12/28
ABF47649,34,1996/01/02
ABF47660,8,1996/01/02
ABI20848,0.5,1996/01/08
ABG47829,19,1996/02/08
AAX56530,6,2000/04/12
ABA08486,28,2000/12/19
AAZ38627,26,2001/01/08
ABA08519,0.5,2001/01/08
ABD60911,0.5,2001/01/08
AAZ79604,0.5,2001/01/10
ABB02913,0.5,2001/01/10
ABA12715,0.5,2001/01/12
ABB79990,44,2001/01/15
ABA43189,8,2001/01/19
ABA42258,10,2001/01/22
ABB02924,0.5,2001/01/22
ABC40533,0.5,2001/01/22
ABA42236,19,2001/01/23
ABA42575,0.5,2001/01/23
ABF47671,19,2001/01/23
ABB79979,,2001/01/24
ABB80045,6,2001/01/24
ABA87091,0.5,2001/01/25
ABB82194,1,2001/01/26
ABA87231,21,2001/01/28
ABA87045,40,2001/01/29
ABB02814,18,2001/02/07
ABA18037,0.5,2001/02/12
AAZ83299,18,2001/02/21
ABB02936,0.5,2001/02/21
ABA08464,24,2001/02/27
ABB53707,0.5,2001/02/28
ABB82216,3,2002/12/05
ABA87080,0.5,2002/12/21
AAZ83253,33,2002/12/26
ABA12696,3,2003/01/12
ABA12707,5,2003/01/15
ABD60779,8,2003/01/20
ABB03123,50,2003/01/21
ABA18145,49,2003/01/22
ABI96103,,2003/01/23
ABC41714,1,2003/01/23
ABA08475,20,2003/01/27
ABB02803,6,2003/01/28
ABI96108,,2003/01/31
ABI96107,,2003/02/01
ABI96109,,2003/02/02
ABB82205,43,2003/02/12
ABB03145,2,2003/02/25
ABB53740,1,2003/02/26
ABA12729,0.5,2003/02/28
ABB02792,0.5,2003/03/05
ABA42247,0.5,2003/03/21
ACA33678,,2006/03/21
ABK79959,62,2006/04/10
ACA33801,,2006/10/31
ABW23290,,2006/11/20
ACD47245,,2006/12/06
ABX58679,3,2006/12/06
ABU50573,,2006/12/09
ABW23295,,2006/12/11
ABW23320,,2006/12/13
ABW23335,,2006/12/14
ABU50566,,2006/12/14
ABW23328,,2006/12/18
ABV29557,,2006/12/18
ABW71294,,2006/12/18
ABU50574,,2006/12/19
ABU50565,,2006/12/19
ABV29535,,2006/12/20
ABU50571,,2006/12/28
ACA33676,,2006/12/28
ABV29546,,2006/12/28
ABX58239,,2006/12/28
ABU50568,,2006/12/29
ABU50569,,2006/12/29
ABW23296,,2006/12/29
ABU50570,,2006/12/31
ABV29579,,2007/01/04
ABV29568,,2007/01/05
ABW40059,,2007/01/06
ABV29744,,2007/01/11
ABY51061,,2007/01/11
ABV45937,,2007/01/12
ABW71382,,2007/01/12
ABW40004,,2007/01/12
ACD47248,,2007/01/13
ABV30316,,2007/01/15
ABV30503,,2007/01/16
ABY51017,,2007/01/16
ABW40048,,2007/01/16
ABW91570,9,2007/01/16
ABW91559,32,2007/01/16
ABV29920,,2007/01/18
ABV30195,,2007/01/18
ABW40070,,2007/01/18
ABX58459,,2007/01/19
ABV30338,,2007/01/22
ABV30349,,2007/01/22
ABW40620,,2007/01/22
ABW91515,,2007/01/22
ABW71360,,2007/01/22
ABW40125,,2007/01/22
ABV29656,,2007/01/22
ABW39828,,2007/01/22
ABX58690,3,2007/01/22
ACA33751,,2007/01/23
ABW23336,,2007/01/23
ABV29601,,2007/01/23
ABV29865,,2007/01/23
ABW36267,,2007/01/23
ABW40213,,2007/01/23
ABW39817,,2007/01/23
ACA96519,,2007/01/24
ABV30492,,2007/01/24
ABW40224,,2007/01/24
ABV29832,,2007/01/24
ABW91471,,2007/01/24
ABW23281,,2007/01/25
ABW23319,,2007/01/25
ABW23339,,2007/01/25
ABW71316,,2007/01/25
ABX58558,,2007/01/25
ABW91581,9,2007/01/25
