GBACC,AGE
"AAA43283",
"AAA43283",
"ABP49327",
"ABP49327",
"ABO38054",
"ABO38054",
"ACA33788",
"ACA33788",
"ACA33790",
"ACA33790",
"ABN59412",
"ABN59412",
"ABP49481",
"ABP49481",
"ABQ44471",
"ABQ44471",
"ABQ01311",
"ABQ01311",
"ABP49448",
"ABP49448",
"ABN59401",
"ABN59401",
"ABP49316",
"ABP49316",
"ABW36311",
"ABW36311",
"ACA33777",
"ACA33777",
"ACB11784",
"ACB11784",
"ACA33780",
"ACA33780",
"ACH82079",
"ACH82079",
"ABN59423",
"ABN59423",
"ABW23343",
"ABW23343",
"ABR15896",
"ABR15896",
"ABU80298",
"ABU80298",
"ABV45849",
"ABV45849",
"ABS49976",
"ABS49976",
"ABS49987",
"ABS49987",
"ABU80309",
"ABU80309",
"ABR28900",
"ABR28900",
"ADG23217",
"ADG23217",
"ADG23218",
"ADG23218",
"ADG23220",
"ADG23220",
"ADG23221",
"ADG23221",
"ADG23222",
"ADG23222",
"ACI32728",
"ACI32728",
"ABD95339",
"ABD95339",
"ABD77818",
"ABD77818",
"ABO52258",
"ABO52258",
"AAP34323",
"AAP34323",
"ACF41867",
"ACF41867",
"ABD62843",
"ABD62843",
"ACI32733",
"ACI32733",
"ACI32731",
"ACI32731",
"ACI32714",
"ACI32714",
"ACI32732",
"ACI32732",
"ACI32734",
"ACI32734",
"ABO38065",
"ABO38065",
"AFO65049",
"AFO65049",
"ACI32715",
"ACI32715",
"ACA28844",47
"ACA28844",47
"ACA28846",47
"ACA28846",47
"CAA35094",
"CAA35094",
"ABW23336",
"ABW23336",
"ABW23339",
"ABW23339",
"ABW23341",
"ABW23341",
"ABW23335",
"ABW23335",
"ABP49338",
"ABP49338",
"ACD47245",
"ACD47245",
"ACD47248",
"ACD47248",
"ACA33803",
"ACA33803",
"ACA33740",
"ACA33740",
"ACA33795",
"ACA33795",
"ACA33798",
"ACA33798",
"ABY81349",
"ABY81349",
"ABW91614",5
"ABW91614",5
"ABW36234",
"ABW36234",
"ABW39839",
"ABW39839",
"ABW39850",
"ABW39850",
"ABV29755",
"ABV29755",
"ABX58261",
"ABX58261",
"ABY51039",
"ABY51039",
"ACI45444",
"ACI45444",
"ACI45445",
"ACI45445",
"ACM90870",
"ACM90870",
"ACI45446",
"ACI45446",
"ACI45447",
"ACI45447",
"ABD79112",
"ABD79112",
"AFO66235",
"AFO66235",
"ABE11679",24
"ABE11679",24
"ABM66864",13
"ABM66864",13
"ABC42750",13
"ABC42750",13
"ABD95306",20
"ABD95306",20
"ABD78082",41
"ABD78082",41
"ABF47561",12
"ABF47561",12
"ABF47572",
"ABF47572",
"ABD77917",30
"ABD77917",30
"ABG37120",28
"ABG37120",28
"ABD94976",39
"ABD94976",39
"ABD95108",44
"ABD95108",44
"ABD95130",1
"ABD95130",1
"ABD60900",30
"ABD60900",30
"ABD95185",1
"ABD95185",1
"ABD77719",5
"ABD77719",5
"ABD94987",6
"ABD94987",6
"ABE11701",12
"ABE11701",12
"ABF82673",9
"ABF82673",9
"ABD77928",42
"ABD77928",42
"ABD77972",23
"ABD77972",23
"ABD94756",12
"ABD94756",12
"ABD95031",9
"ABD95031",9
"ABO38340",
"ABO38340",
"AFO66147",
"AFO66147",
"AFO66158",
"AFO66158",
"ABO52797",
"ABO52797",
"AFO66224",
"AFO66224",
"ACA33673",
"ACA33673",
"ACA33778",
"ACA33778",
"ACD47237",
"ACD47237",
"ABW39828",
"ABW39828",
"AEM60058",
"AEM60058",
"ABX58272",
"ABX58272",
"ABW71393",
"ABW71393",
"ABW81524",
"ABW81524",
"ABW81514",
"ABW81514",
"ABW81507",
"ABW81507",
"ABW81508",
"ABW81508",
"ABW81518",
"ABW81518",
"ABW81510",
"ABW81510",
"ABW81521",
"ABW81521",
"ABW81517",
"ABW81517",
"ABW81504",
"ABW81504",
"ABW81520",
"ABW81520",
"ABW81519",
"ABW81519",
"ABW81503",
"ABW81503",
"ABW81526",
"ABW81526",
"ABW81527",
"ABW81527",
"ABW81525",
"ABW81525",
"ABD15258",
"ABD15258",
"ADB80153",
"ADB80153",
"ABG37362",
"ABG37362",
"AFP33324",
"AFP33324",
"AFP33325",
"AFP33325",
"ACJ25157",
"ACJ25157",
"ACJ25113",
"ACJ25113",
"ACJ25168",
"ACJ25168",
"CAC18524",
"CAC18524",
"ACA33741",
"ACA33741",
"ABU50565",
"ABU50565",
"ABU50566",
"ABU50566",
"ACA33784",
"ACA33784",
"ACA33797",
"ACA33797",
"ACF40117",
"ACF40117",
"ACA33802",
"ACA33802",
"ACF40118",
"ACF40118",
"ACD47251",
"ACD47251",
"ACD47257",
"ACD47257",
"AFQ90528",
"AFQ90528",
"AFO64846",
"AFO64846",
"ACA33801",
"ACA33801",
"ACN32804",
"ACN32804",
"AEA04354",
"AEA04354",
"AAA67338",
"AAA67338",
"ABD77807",
"ABD77807",
"ABD61735",
"ABD61735",
"ACA33747",
"ACA33747",
"ACA33736",
"ACA33736",
"ADG23224",
"ADG23224",
"ACB32206",
"ACB32206",
"ACB32207",
"ACB32207",
"ACB32201",
"ACB32201",
"ACB32202",
"ACB32202",
"ACB32203",
"ACB32203",
"ACB32204",
"ACB32204",
"ACB32205",
"ACB32205",
"AEX33310",
"AEX33310",
"AEX33321",
"AEX33321",
"AEX33332",
"AEX33332",
"AEX34473",
"AEX34473",
"AEX33354",
"AEX33354",
"AEX33365",
"AEX33365",
"AEX33398",
"AEX33398",
"AEX34572",
"AEX34572",
"AEX33420",
"AEX33420",
"AEX34672",
"AEX34672",
"AEX34683",
"AEX34683",
"AEX33913",
"AEX33913",
"AEX33924",
"AEX33924",
"ACI32717",
"ACI32717",
"ADG23226",
"ADG23226",
"ADG23225",
"ADG23225",
"AEX34650",
"AEX34650",
"AEX33902",
"AEX33902",
"AEX34661",
"AEX34661",
"ACA33701",
"ACA33701",
"ACA33703",
"ACA33703",
"ACA33704",
"ACA33704",
"ACA33728",
"ACA33728",
"ACA33723",
"ACA33723",
"ACA33729",
"ACA33729",
"ACA33724",
"ACA33724",
"ACA33737",
"ACA33737",
"ACA33672",
"ACA33672",
"ACA33722",
"ACA33722",
"ACA33726",
"ACA33726",
"ACA33783",
"ACA33783",
"ACB11812",
"ACB11812",
"ACA33776",
"ACA33776",
"ACF40114",
"ACF40114",
"ACD47255",
"ACD47255",
"ACD47246",
"ACD47246",
"ACD47236",
"ACD47236",
"ACD85753",
"ACD85753",
"ABO38351",
"ABO38351",
"ACI32718",
"ACI32718",
"ABI20826",
"ABI20826",
"ABD62061",
"ABD62061",
"AEX35175",
"AEX35175",
"AEX35186",
"AEX35186",
"ADC45659",4
"ADC45659",4
"AAK70452",
"AAK70452",
"AAK70453",
"AAK70453",
"AAK70454",
"AAK70454",
"AAK70451",
"AAK70451",
"AAK70456",
"AAK70456",
"ABD60944",
"ABD60944",
"AFO66246",
"AFO66246",
"ADC45670",6
"ADC45670",6
"ACA33750",
"ACA33750",
"ACA33702",
"ACA33702",
"ABW23295",
"ABW23295",
"ACA33791",
"ACA33791",
"ACA33771",
"ACA33771",
"ACA33773",
"ACA33773",
"ACU43620",
"ACU43620",
"ACU43619",
"ACU43619",
"ACB11774",
"ACB11774",
"ABV29579",
"ABV29579",
"ABW91559",32
"ABW91559",32
"ABW86541",
"ABW86541",
"ABW91416",
"ABW91416",
"ABW40543",
"ABW40543",
"ABV29689",
"ABV29689",
"ABV30052",
"ABV30052",
"ABO38362",
"ABO38362",
"ABU50568",
"ABU50568",
"ACA33775",
"ACA33775",
"ABO38373",
"ABO38373",
"ABI19015",
"ABI19015",
"AFO64879",
"AFO64879",
"ABW91471",
"ABW91471",
"ABX58602",
"ABX58602",
"BAK86315",
"BAK86315",
"ABX58679",3
"ABX58679",3
"ABV45937",
"ABV45937",
"ABW71382",
"ABW71382",
"ABV30503",
"ABV30503",
"ABV29601",
"ABV29601",
"ABW71316",
"ABW71316",
"ABV30162",
"ABV30162",
"ABX58635",
"ABX58635",
"ABW91526",
"ABW91526",
"ABV29733",
"ABV29733",
"ABW39916",
"ABW39916",
"ABV30525",
"ABV30525",
"ADG23227",
"ADG23227",
"ADG23232",
"ADG23232",
"AAA43172",
"AAA43172",
"AFV53260",
"AFV53260",
"ABO32981",
"ABO32981",
"ABO32992",
"ABO32992",
"AAA43171",
"AAA43171",
"ADT79108",
"ADT79108",
"AEX34418",
"AEX34418",
"AEX34440",
"AEX34440",
"AFJ74386",
"AFJ74386",
"AFJ78298",
"AFJ78298",
"AFJ74459",
"AFJ74459",
"AFJ78342",
"AFJ78342",
"AFJ78364",
"AFJ78364",
"AFJ78375",
"AFJ78375",
"AFJ75069",
"AFJ75069",
"AFJ78507",
"AFJ78507",
"AFJ78518",
"AFJ78518",
"AFJ78529",
"AFJ78529",
"AFJ75517",
"AFJ75517",
"AFJ75549",
"AFJ75549",
"AFJ78562",
"AFJ78562",
"AFJ78573",
"AFJ78573",
"AFJ78628",
"AFJ78628",
"AFJ75560",
"AFJ75560",
"AFJ78584",
"AFJ78584",
"AFJ78595",
"AFJ78595",
"AFJ75571",
"AFJ75571",
"ABD60966",
"ABD60966",
"AFJ78386",
"AFJ78386",
"AFJ78408",
"AFJ78408",
"AFJ78419",
"AFJ78419",
"AFJ78430",
"AFJ78430",
"AFJ75036",
"AFJ75036",
"AFJ78441",
"AFJ78441",
"AFJ78452",
"AFJ78452",
"AFJ78463",
"AFJ78463",
"AFJ75058",
"AFJ75058",
"AFJ78474",
"AFJ78474",
"AFJ78485",
"AFJ78485",
"AFJ78496",
"AFJ78496",
"ABW23312",
"ABW23312",
"ACB11763",
"ACB11763",
"ABO33006",
"ABO33006",
"ACA33781",
"ACA33781",
"ACV49556",
"ACV49556",
"ABD62781",
"ABD62781",
"ABN50756",
"ABN50756",
"ABG88333",
"ABG88333",
"ABP49349",
"ABP49349",
"ABQ44416",
"ABQ44416",
"ABO38021",
"ABO38021",
"ABN50962",
"ABN50962",
"ABG26824",
"ABG26824",
"ABM22246",
"ABM22246",
"ABF47715",
"ABF47715",
"ABN51066",
"ABN51066",
"ABO38010",
"ABO38010",
"AAP60036",
"AAP60036",
"AAP60037",
"AAP60037",
"ABO52225",
"ABO52225",
"ABP49305",
"ABP49305",
"ABG88344",
"ABG88344",
"ABM22257",
"ABM22257",
"ABK40546",
"ABK40546",
"ABF47759",
"ABF47759",
"ABK40590",
"ABK40590",
"ABL67264",
"ABL67264",
"ABN50940",
"ABN50940",
"ABN50900",
"ABN50900",
"ABM22279",
"ABM22279",
"ABI92302",
"ABI92302",
"ABO32948",
"ABO32948",
"ABF47748",
"ABF47748",
"ABO32959",
"ABO32959",
"ABI96103",
"ABI96103",
"ABI96107",
"ABI96107",
"ABI96108",
"ABI96108",
"ABI96109",
"ABI96109",
"ABV29546",
"ABV29546",
"ACA33752",
"ACA33752",
"ACA33738",
"ACA33738",
"ABW23328",
"ABW23328",
"ABX58239",
"ABX58239",
"ABW71360",
"ABW71360",
"ABV29678",
"ABV29678",
"ABV30459",
"ABV30459",
"ABW36289",
"ABW36289",
"CAA91081",
"CAA91081",
"CAA91080",
"CAA91080",
"BAG28220",
"BAG28220",
"BAG28223",
"BAG28223",
"AFO64901",
"AFO64901",
"AFM68954",
"AFM68954",
"ABI21519",
"ABI21519",
"ABJ53504",
"ABJ53504",
"ABI21530",
"ABI21530",
"ABI21541",
"ABI21541",
"AFO64802",
"AFO64802",
"ABI21552",
"ABI21552",
"ABI95250",
"ABI95250",
"ABW23337",
"ABW23337",
"AFO66213",
"AFO66213",
"ADT78876",
"ADT78876",
"ADT78908",
"ADT78908",
"ADT78929",
"ADT78929",
"ADT78936",
"ADT78936",
"ADM31392",
"ADM31392",
"ACD37430",
"ACD37430",
"ACF41878",
"ACF41878",
"ACA33751",
"ACA33751",
"ACU80014",
"ACU80014",
"ACA33727",
"ACA33727",
"ACA33792",
"ACA33792",
"ABQ44394",
"ABQ44394",
"ACB11775",
"ACB11775",
"ACQ99821",Adult
"ACQ99821",Adult
"ABU50570",
"ABU50570",
"ACB11808",
"ACB11808",
"ABJ09327",9
"ABJ09327",9
"ABW23342",
"ABW23342",
"AAX56530",6
"AAX56530",6
"ACA33785",
"ACA33785",
"AAZ38627",26
"AAZ38627",26
"ABB80045",6
"ABB80045",6
"AAZ83253",33
"AAZ83253",33
"ABA08475",20
"ABA08475",20
"ABA08486",28
"ABA08486",28
"ABF47671",19
"ABF47671",19
"ABA42236",19
"ABA42236",19
"ABB79979",
"ABB79979",
"ABA43189",8
"ABA43189",8
"ABW23320",
"ABW23320",
"ABA87080",1
"ABA87080",1
"ABP49360",
"ABP49360",
"ABB79990",44
"ABB79990",44
"ABA18037",1
"ABA18037",1
"ABA08519",1
"ABA08519",1
"ABA12715",1
"ABA12715",1
"AAZ79604",1
"AAZ79604",1
"ABB02913",1
"ABB02913",1
"ABB02924",1
"ABB02924",1
"ABA42575",1
"ABA42575",1
"ABB02936",1
"ABB02936",1
"ABB03123",50
"ABB03123",50
"ABB82205",43
"ABB82205",43
"ABB82216",3
"ABB82216",3
"ABB53740",1
"ABB53740",1
"ABE11867",
"ABE11867",
"ABE11900",
"ABE11900",
"ABE11922",10
"ABE11922",10
"ABE11942",5
"ABE11942",5
"ABG47829",19
"ABG47829",19
"ABE12032",
"ABE12032",
"ABF47627",
"ABG47840",20
"ABG47840",20
"ABG88300",48
"ABG88300",48
"ABF47660",8
"ABF47660",8
"ABI20837",
"ABI20837",
"ABE26991",23
"ABE26991",23
"ABI20848",1
"ABI20848",1
