GBACC,AGE,ISODATE
AAA43283,,1991
ABP49327,,1945
ABO38054,,1943
ACA33788,,2007
ACA33790,,2007
ABN59412,,1935
ABP49481,,1951
ABQ44471,,1951
ABQ01311,,1951
ABP49448,,1978
ABN59401,,1948
ABP49316,,1950
ABW36311,,1979
ACA33777,,2007
ACB11784,,2007
ACA33780,,2007
ACH82079,,2007
ABN59423,,1978
ABW23343,,2007
ABR15896,,2000
ABU80298,,2000
ABV45849,,2000
ABS49976,,2000
ABS49987,,2000
ABU80309,,2000
ABR28900,,2005
ADG23217,,2005
ADG23218,,2006
ADG23220,,2006
ADG23221,,2006
ADG23222,,2006
ACI32728,,2006
ABD95339,,1982
ABD77818,,1982
ABO52258,,1981
AAP34323,,1995
ACF41867,,1995
ABD62843,,1942
ACI32733,,2006
ACI32731,,2006
ACI32714,,2005
ACI32732,,2006
ACI32734,,2006
ABO38065,,1978
AFO65049,,2000
ACI32715,,2005
ACA28844,47,2007
ACA28846,47,2007
CAA35094,,1983
ABW23336,,2007
ABW23339,,2007
ABW23341,,2007
ABW23335,,2006
ABP49338,,1978
ACD47245,,2006
ACD47248,,2007
ACA33803,,2007
ACA33740,,2007
ACA33795,,2007
ACA33798,,2007
ABY81349,,1978
ABW91614,5,2007
ABW36234,,2007
ABW39839,,2007
ABW39850,,2007
ABV29755,,2007
ABX58261,,2007
ABY51039,,2007
ACI45444,,2007
ACI45445,,2007
ACM90870,,2007
ACI45446,,2007
ACI45447,,2007
ABD79112,,1946
AFO66235,,2004
ABE11679,24,2001
ABM66864,13,2001
ABC42750,13,2004
ABD95306,20,2001
ABD78082,41,2001
ABF47561,12,2001
ABF47572,,2001
ABD77917,30,2000
ABG37120,28,2001
ABD94976,39,2000
ABD95108,44,2001
ABD95130,1,2001
ABD60900,30,2000
ABD95185,1,2001
ABD77719,5,2000
ABD94987,6,2000
ABE11701,12,2001
ABF82673,9,2001
ABD77928,42,2000
ABD77972,23,2000
ABD94756,12,2000
ABD95031,9,2000
ABO38340,,1983
AFO66147,,2000
AFO66158,,2001
ABO52797,,1982
AFO66224,,2003
ACA33673,,2007
ACA33778,,2007
ACD47237,,2007
ABW39828,,2007
AEM60058,,2007
ABX58272,,2007
ABW71393,,2007
ABW81524,,2005
ABW81514,,2005
ABW81507,,2001
ABW81508,,2001
ABW81518,,2004
ABW81510,,2001
ABW81521,,2005
ABW81517,,2005
ABW81504,,2001
ABW81520,,2005
ABW81519,,2005
ABW81503,,2001
ABW81526,,2006
ABW81527,,2006
ABW81525,,2006
ABD15258,,1957
ADB80153,,2007
ABG37362,,2000
AFP33324,,2000
AFP33325,,2000
ACJ25157,,2007
ACJ25113,,2006
ACJ25168,,2007
CAC18524,,1983
ACA33741,,2007
ABU50565,,2006
ABU50566,,2006
ACA33784,,2007
ACA33797,,2007
ACF40117,,2007
ACA33802,,2007
ACF40118,,2007
ACD47251,,2007
ACD47257,,2007
AFQ90528,,1993
AFO64846,,1993
ACA33801,,2006
ACN32804,,2007
AEA04354,,1947
AAA67338,,1947
ABD77807,,1947
ABD61735,,1950
ACA33747,,2007
ACA33736,,2007
ADG23224,,2006
ACB32206,,2006
ACB32207,,2006
ACB32201,,2006
ACB32202,,2006
ACB32203,,2006
ACB32204,,2006
ACB32205,,2006
AEX33310,,2001
AEX33321,,2001
AEX33332,,2001
AEX34473,,2001
AEX33354,,2002
AEX33365,,2002
AEX33398,,2003
AEX34572,,2003
AEX33420,,2003
AEX34672,,2006
AEX34683,,2006
AEX33913,,2006
AEX33924,,2006
ACI32717,,2005
ADG23226,,2007
ADG23225,,2005
AEX34650,,2005
AEX33902,,2006
AEX34661,,2006
ACA33701,,2007
ACA33703,,2007
ACA33704,,2007
ACA33728,,2007
ACA33723,,2007
ACA33729,,2007
ACA33724,,2007
ACA33737,,2007
ACA33672,,2007
ACA33722,,2007
ACA33726,,2007
ACA33783,,2007
ACB11812,,2007
ACA33776,,2007
ACF40114,,2007
ACD47255,,2007
ACD47246,,2007
ACD47236,,2007
ACD85753,,2007
ABO38351,,1936
ACI32718,,2005
ABI20826,,1940
ABD62061,,2001
AEX35175,,2006
AEX35186,,2006
ADC45659,4,2007
AAK70452,,1998
AAK70453,,1998
AAK70454,,1998
AAK70451,,1998
AAK70456,,1998
ABD60944,,1977
AFO66246,,2004
ADC45670,6,2007
ACA33750,,2007
ACA33702,,2007
ABW23295,,2006
ACA33791,,2007
ACA33771,,2007
ACA33773,,2007
ACU43620,,2007
ACU43619,,2007
ACB11774,,2007
ABV29579,,2007
ABW91559,32,2007
ABW86541,,2007
ABW91416,,2007
ABW40543,,2007
ABV29689,,2007
ABV30052,,2007
ABO38362,,1980
ABU50568,,2006
ACA33775,,2007
