GBACC,AGE,ISODATE
ABB54514,,1968
ABN51099,,1968
ABN51121,,1968
ABO44068,,1968
ABO52357,,1968
ABP49514,,1968
ABR15797,,1968
ABN51110,,1969
ABN51132,,1969
ABP49503,,1969
ABO52324,,1970
ABO52368,,1970
ABS49899,,1970
ABS49910,,1970
BAG12818,,1971
AAA43187,,1971
AAZ80007,,1971
ABB52376,,1971
ABP49184,,1971
AAZ43383,,1972
ABD17323,,1972
ABA12773,,1972
ABC84542,,1972
ABC97374,,1972
ABC02332,,1973
ABB96352,,1974
ABC02321,,1974
ABC02255,,1974
ABO52335,,1974
ABO52313,,1975
ABB96363,,1976
ABC02266,,1976
ABC40544,,1976
ABD16751,,1976
ABD16740,,1976
ABD61757,,1976
ABP49492,,1976
ABQ01366,,1976
ABR28592,,1976
ABB96374,,1977
ABB96395,,1977
ABC02310,,1977
ABC67839,,1977
ABC67861,,1977
ABO52346,,1977
AFG99105,,1977
AFM68965,,1977
ABB96341,,1978
ABB96319,,1978
ABB96330,,1978
ABC46554,,1978
ABO33069,,1978
ABO38230,,1978
ABC46565,,1980
ABC40555,,1980
ABC86137,,1980
ABD16762,,1980
ABC46576,,1981
ABD61529,,1983
ABC84531,,1985
ABD17334,,1985
ABD16729,,1985
ABD61777,,1985
ABG37208,,1985
AAZ43370,,1986
ABA16214,,1986
ABD16718,,1986
ABG26802,,1986
ABI93039,,1986
ABO38241,,1986
AFG99237,,1986
ABF47550,,1988
ABB96509,,1988
ABD16593,,1988
ABD16582,,1988
AEM60069,,1988
AFG99259,,1988
AFH00747,,1988
AFG99303,,1989
ABA43336,,1990
ABD16571,,1990
ABG37219,,1990
AFG99435,,1990
AFG99446,,1990
AFG99701,,1992/04/03
AFG99712,,1992/04/03
AFG99723,,1992/04/03
ABG88729,50,1993/01/16
ABG80414,72,1993/02/01
ABG48280,18,1993/02/02
ABG80403,78,1993/02/02
ABI30854,89,1993/02/02
ABG48291,20,1993/02/03
ABG48335,93,1993/02/04
ABI21387,83,1993/02/04
ABI21431,85,1993/02/04
ABG48313,1,1993/02/09
ABI21255,32,1993/02/15
ABI21321,83,1993/02/18
ABI30865,86,1993/02/18
ABG48357,30,1993/02/23
ABI21310,79,1993/02/25
ABI21365,9,1993/02/26
ABI21332,95,1993/03/02
ABI21486,77,1993/03/02
ABG48324,76,1993/03/03
ABG48368,97,1993/03/03
ABG80359,74,1993/03/04
ABI21420,76,1993/03/04
ABG48302,90,1993/03/08
ABI21266,83,1993/03/09
ABI21409,85,1993/03/09
ABI21453,76,1993/03/09
ABI21497,99,1993/03/09
ABI21288,106,1993/03/10
ABI21354,103,1993/03/10
ABI21464,87,1993/03/10
ABI21475,82,1993/03/10
ABG80381,91,1993/03/11
ABI21398,91,1993/03/11
ABJ09217,72,1993/03/11
ABG88740,82,1993/03/12
