GBACC,AGE,ISODATE
AFG99358,,1993/01/06
AFG72449,,1993/12/21
AFG72515,,1994/06/01
AFG72526,,1994/06/01
AFG72537,,1994/07/26
AFH00329,,1994/08/02
AFH00395,,1995/01/24
AFG72592,,1995/03/01
AFJ77408,,1995/07/03
AFG72603,,1995/08/01
AFH00406,,1995/09/01
AFJ77419,,1995/09/27
AFJ77430,,1995/09/27
AFG72614,,1995/10/12
AFG72680,,1996/02/12
AFH00450,,1996/02/24
AFH00461,,1996/03/04
AFJ74396,,1996/05/24
AFJ74407,,1996/05/30
AFJ77440,,1996/06/19
AFJ77451,,1996/07/02
AFJ77462,,1996/07/03
AFH00472,,1996/07/19
AFH00483,,1996/07/19
AFJ74418,,1996/08/26
AFJ77484,,1996/09/02
AFJ77473,,1996/09/13
AFJ74427,,1996/09/16
AFJ74437,,1996/09/25
AFJ77495,,1996/09/25
AFH00494,,1996/10/02
AFJ74448,,1996/10/14
AFJ77506,,1996/10/14
AFJ77517,,1996/10/18
AFJ77528,,1996/12/24
ACF36369,,1997/03/10
AFJ78320,,1997/03/14
AFJ77539,,1997/03/18
ACF36379,,1997/04/02
AFJ77550,,1997/05/10
AFJ77561,,1997/06/02
ACF36214,,1997/06/03
AFJ77572,,1997/06/06
AFJ77583,,1997/06/17
AFG72702,,1997/06/20
AFJ77594,,1997/06/20
AFJ77605,,1997/06/24
AFJ77616,,1997/06/24
AFJ77627,,1997/06/27
AFJ77638,,1997/07/07
AFJ74470,,1997/07/24
AFJ77649,,1997/07/24
AFJ74481,,1997/08/02
AFJ74492,,1997/08/02
AFJ74535,,1997/08/06
ACF36267,,1997/08/13
ACF36286,,1997/08/19
AFJ74503,,1997/12/06
AFJ74514,,1997/12/20
ACF36367,,1997/12/25
ACF36371,,1997/12/30
ACF36184,,1998/01/04
ACF36188,,1998/01/12
ACF36192,,1998/01/16
AFJ77660,,1998/05/25
AFJ74525,,1998/05/29
AFJ77682,,1998/06/15
AFJ77671,,1998/06/19
AFJ77693,,1998/08/09
ACF36240,,1998/08/16
AFJ77715,,1998/09/21
AFJ77726,,1998/09/21
ACF36251,,1998/10/03
ACF36180,,1999/01/07
ACF36181,,1999/01/08
ACF36183,,1999/01/09
AFJ77704,,1999/01/22
ACF36197,,1999/02/09
ACF36198,,1999/02/10
ACF36199,,1999/02/11
ACF36200,,1999/02/11
ACF36205,,1999/03/24
ACF36212,,1999/04/02
ACF36213,,1999/04/04
ACF36216,,1999/04/14
ACF36231,,1999/05/15
ACF36232,,1999/06/11
ACF36233,,1999/06/13
ACF36234,,1999/06/20
ACF36330,,1999/07/03
ACF36332,,1999/07/06
ACF36333,,1999/07/12
ACF36334,,1999/08/04
ACF36338,,1999/09/20
ACF36348,,1999/10/27
ACF36356,,1999/11/09
ACF36262,,2000/01/12
ACF36263,,2000/01/12
ACF36269,,2000/02/06
ACF36287,,2000/03/01
ACF36288,,2000/03/02
ACF36289,,2000/03/02
ACF36290,,2000/03/04
ACF36291,,2000/03/05
ACF36319,,2000/07/29
ACF36321,,2000/08/05
ACF36322,,2000/08/06
ACF36323,,2000/08/11
ACF36324,,2000/08/12
ACF36326,,2000/09/03
ACF36327,,2000/09/04
ACF36328,,2000/09/10
ACF36401,,2000/12/08
ACF36218,,2001/03/06
ACF36220,,2001/03/07
ACF36228,,2001/03/16
ACF36230,,2001/03/20
ACF36272,,2001/04/04
ACF36275,,2001/04/11
ACF36277,,2001/04/20
ACF36279,,2001/04/21
ACF36280,,2001/04/21
ACF36282,,2001/04/26
ACF36283,,2001/04/27
ACF36297,,2001/05/28
ACF36310,,2001/07/15
ACF36311,,2001/07/19
ACF36313,,2001/07/22
ACF36314,,2001/07/23
ACF36315,,2001/07/26
ACF36345,,2001/08/09
ACF36346,,2001/08/09
ACF36353,,2001/08/30
ACF36383,,2001/11/08
ACF36396,,2001/12/26
ACF36397,,2001/12/26
ACF36398,,2001/12/28
ACF36405,,2002/01/10
ACF36430,,2002/02/03
ACF36221,,2002/03/01
ACF36222,,2002/03/03
ACF36223,,2002/03/04
ACF36276,,2002/04/02
ACF36281,,2002/04/08
ACF36299,,2002/05/10
ACF36300,,2002/05/10
ACF36301,,2002/05/12
ACF36303,,2002/06/02
ACF36305,,2002/06/04
ACF36339,,2002/07/01
ACF36340,,2002/07/02
ACF36341,,2002/07/02
ACF36354,,2002/08/01
ACF36355,,2002/08/02
ACF36384,,2002/10/01
ACF36385,,2002/10/03
AFJ77737,,2002/11/18
ACF36415,,2002/12/18
