CLUSTER,STRAIN,ISODATE
HK68,BI/15793/68,68
HK68,BI/16190/68,68
HK68,BI/16398/68,68
HK68,HK/1/68,68
HK68,BI/808/69,69
HK68,BI/908/69,69
HK68,BI/17938/69,69
HK68,BI/93/70,70
HK68,BI/2668/70,70
HK68,BI/6449/71,71
HK68,BI/21438/71,71
HK68,BI/21801/71,71
HK68,HK/107/71,71
HK68,BI/6022/72,72
EN72,BI/21793/72,72
EN72,BI/23290/72,72
EN72,BI/23337/72,72
EN72,EN/42/72,72
EN72,BI/552/73,73
EN72,BI/748/73,73
EN72,BI/3517/73,73
EN72,PC/1/73,73
EN72,BI/5146/74,74
EN72,BI/5930/74,74
EN72,BI/5931/74,74
EN72,BI/7398/74,74
EN72,BI/9459/74,74
EN72,BI/2600/75,75
EN72,BI/2813/75,75
VI75,VI/3/75,75
VI75,BI/1761/76,76
VI75,BI/5029/76,76
VI75,BI/5657/76,76
VI75,BI/6545/76,76
VI75,AM/1609/77,77
VI75,BI/3895/77,77
VI75,RD/5828/77,77
VI75,RD/8179/77,77
TX77,BI/628/76,76
TX77,BI/2271/76,76
TX77,TE/1/77,77
BK79,NL/209/80,80
BK79,RD/577/80,80
BK79,BI/4791/81,81
BK79,BI/10684/82,82
BK79,NL/233/82,82
BK79,NL/241/82,82
BK79,PH/2/82,82
BK79,OS/13676/83,83
BK79,CE/1/84,84
BK79,GF/V728/85,85
BK79,NL/330/85,85
BK79,ST/10/85,85
BK79,WE/4/85,85
BK79,CO/2/86,86
BK79,LE/360/86,86
BK79,CC/2/88,88
SI87,SH/11/87,87
SI87,SI/2/87,87
SI87,VI/7/87,87
SI87,EN/427/88,88
SI87,NL/450/88,88
SI87,ST/12/88,88
SI87,AT/211/89,89
SI87,GE/5007/89,89
SI87,GU/54/89,89
SI87,HK/1/89,89
SI87,NL/620/89,89
SI87,NL/650/89,89
SI87,NL/738/89,89
SI87,SP/34/89,89
SI87,SP/35/89,89
SI87,SP/36/89,89
SI87,SP/40/89,89
SI87,SP/53/89,89
SI87,VI/1/89,89
SI87,WE/5/89,89
SI87,ME/2/90,90
SI87,ME/5/90,90
SI87,SH/24/90,90
SI87,SU/1/90,90
SI87,CA/1/91,91
BE89,BE/352/89,89
BE89,BE/353/89,89
BE89,VI/2/90,90
BE89,EN/260/91,91
BE89,EN/261/91,91
BE89,GE/6447/91,91
BE89,LY/1149/91,91
BE89,LY/1182/91,91
BE89,LY/1189/91,91
BE89,LY/1276/91,91
BE89,LY/1337/91,91
BE89,LY/1373/91,91
BE89,LY/1594/91,91
BE89,LY/23672/91,91
BE89,LY/24103/91,91
BE89,LY/24222/91,91
BE89,MA/G12/91,91
BE89,NL/816/91,91
BE89,ST/20/91,91
BE89,AM/4112/92,92
BE89,ES/1285/92,92
BE89,FI/218/92,92
BE89,FI/220/92,92
BE89,GE/5113/92,92
BE89,HO/56798/92,92
BE89,HO/56829/92,92
BE89,HO/56941/92,92
BE89,MA/G58/92,92
BE89,NI/3126/92,92
BE89,NI/3129/92,92
BE89,NL/819/92,92
BE89,NL/823/92,92
BE89,NL/935/92,92
BE89,OV/31/92,92
BE89,PA/320/92,92
BE89,PA/325/92,92
BE89,PA/407/92,92
BE89,PA/417/92,92
BE89,PA/424/92,92
BE89,PA/457/92,92
BE89,PA/467/92,92
BE89,PA/490/92,92
BE89,PA/512/92,92
BE89,PA/548/92,92
BE89,PA/564/92,92
