abs_netcharge,abs_binding
0,0.584962501
1,1
0,2
-2,1
1,0.584962501
1,1.584962501
1,1.584962501
2,4
1,1
1,1.584962501
1,1
1,1
1,1
-1,2
0,0.584962501
0,0.584962501
0,1
1,0.584962501
0,0
0,0
-1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
-1,0
1,0
-1,0
-1,0
0,0
2,0
0,0.75
0,0.75
0,0.75
0,0.5
0,0.5
1,3.419539
-1,-2
0,-3.8365
-2,-1
-1,1.989139007
-2,0.575312331
-1,0.565597176
-1,-2.251538767
0,-1.058893689
1,0.97819563
-1,-0.074000581
1,-1.029146346
0,-2.184424571
1,1.555816155
0,-2.184424571
0,1.555816155
-1,-1.120294234
2,2.746312766
1,0.189033824
2,-0.234465254
2,-0.251538767
2,3.150559677
2,3.150559677
2,2.17951105
2,-0.120294234
1,-0.943416472
2,-3.64385619
2,2.17951105
2,2.182692298
1,1.182692298
0,-0.184424571
1,-1.59946207
1,-0.152003093
1,1.765534746
