Netcharge,Binding,BindingActivity,BindingFolds
0,1,1.5,0.584962501
1,1,2,1
0,1,4,2
-2,1,2,1
1,1,1.5,0.584962501
1,1,3,1.584962501
1,1,3,1.584962501
2,1,16,4
1,1,2,1
1,1,3,1.584962501
1,1,2,1
1,1,2,1
1,1,2,1
-1,1,4,2
0,1,1.5,0.584962501
0,1,1.5,0.584962501
0,1,2,1
1,1,1.5,0.584962501
0,0,1,0
0,0,1,0
-1,0,1,0
0,0,1,0
0,0,1,0
1,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-1,0,1,0
1,0,1,0
-1,0,1,0
1,0,1,0
-1,0,1,0
-1,0,1,0
0,0,1,0
2,0,1,0
0,-1,0.75,-0.415037499
0,-1,0.75,-0.415037499
0,-1,0.75,-0.415037499
0,-1,0.5,-1
0,-1,0.5,-1
