Netcharge,Binding,BindingActivity,BindingFolds
-2,-1,0.49,-1.029146346
-2,-1,0.5,-1
-2,1,8,1
-1,-1,0.08,-3.64385619
-1,-1,0.11,-3.184424571
-1,-1,0.15,-2.736965594
-1,-1,0.16,-2.64385619
-1,-1,0.23,-2.120294234
-1,-1,0.25,-2
-1,-1,0.39,-1.358453971
-1,0,4,0
-1,0,4,0
-1,0,4,0
-1,0,4,0
-1,1,16,2
0,0,0.07,-3.836501268
0,-1,0.11,-3.184424571
0,-1,0.13,-2.943416472
0,-1,0.13,-2.943416472
0,-1,0.14,-2.836501268
0,-1,0.15,-2.736965594
0,-1,0.2,-2.321928095
0,-1,0.25,-2
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,1,0
0,0,1.01,0.014355293
0,0,1.31,0.389566812
0,0,1.32,0.40053793
0,-1,2,0.5
0,-1,2,0.5
0,1,6,0.584962501
0,1,6,0.584962501
0,1,6,0.584962501
0,1,1.5,0.584962501
0,-1,3,0.75
0,-1,3,0.75
0,-1,3,0.75
0,1,8,1
0,1,2.94,1.555816155
0,1,2.99,1.580145484
0,1,16,2
1,1,0.5,-1
1,0,4,0
1,0,4,0
1,0,4,0
1,0,4,0
1,0,1.03,0.042644337
1,1,6,0.584962501
1,1,6,0.584962501
1,1,1.97,0.97819563
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,2.09,1.063502942
1,1,2.94,1.555816155
1,1,2.98,1.575312331
1,1,12,1.584962501
1,1,12,1.584962501
1,1,12,1.584962501
1,1,8.01,3.001802243
1,1,10.7,3.419538892
2,0,4,0
2,1,4.52,2.176322773
2,1,9.27,3.212569339
2,1,64,4
