Strain,Year,E_ec,E_sc,E_bind
AAA43187,1971,115.62,21.79,137.41
AAP23238,1998,120.1,23.93,144.03
AAT08000,2003,123.53,20.72,144.25
AAT64728,1986,116.93,25.02,141.95
AAX11585,2003,121.21,24.25,145.45
AAX11595,2003,123.4,23.97,147.37
AAX11625,2001,117.96,24.41,142.37
AAX11635,2002,120.27,24.41,144.68
AAX12741,2003,123.26,24.27,147.53
AAX12761,2001,120.27,24.41,144.68
AAX12781,2002,117.75,24.41,142.16
AAX12791,2002,117.48,24.41,141.89
AAX12801,2002,120.05,24.41,144.46
AAX34061,2003,122.96,24.27,147.22
AAX35821,2004,123.1,24.25,147.35
AAX35861,2001,117.96,24.41,142.37
AAX35871,2002,116.83,25.91,142.75
AAX38237,2001,120.47,24.41,144.88
AAX47515,2002,120.34,24.41,144.75
AAX47525,2002,120.34,24.73,145.07
AAX56400,2003,121.48,23.98,145.46
AAX56420,2004,123.26,24.27,147.53
AAX56430,2003,121.35,24.27,145.61
AAX56440,2001,117.96,24.39,142.35
AAX56460,2002,120.6,24.41,145.01
AAX56470,2002,120.26,24.41,144.67
AAX56490,2001,117.96,24.41,142.37
AAX56510,2002,118.47,24.41,142.88
AAX56560,2003,123.16,24.27,147.42
AAX56570,2001,118.18,24.54,142.72
AAX56590,2002,121.18,24.41,145.59
AAX57644,2003,123.26,24.27,147.52
AAX57734,2002,118.45,24.41,142.86
AAX57754,1999,122.89,24.36,147.25
AAX57784,2002,120.51,24.41,144.92
AAX57794,1999,123.35,24.36,147.71
AAX57804,1999,122.68,24.36,147.03
AAX57824,2000,122.68,24.36,147.03
AAX57864,2000,122.68,24.36,147.03
AAX57894,2000,122.68,24.36,147.03
AAX57904,1999,122.88,24.41,147.29
AAX57914,1999,120.11,24.36,144.46
AAX57924,2000,121.67,25.87,147.54
AAX57944,2003,118.07,24.41,142.48
AAX76623,2004,123.4,23.97,147.37
AAX76643,2003,121.35,24.27,145.61
AAX76653,2003,118.35,24.27,142.62
AAX76683,2000,122.46,24.36,146.81
AAX76693,1999,120.14,24.22,144.37
AAX76703,2000,119.14,24.22,143.36
AAX76723,1999,119.5,24.36,143.86
AAX76733,2003,123.05,23.72,146.77
AAX76743,2003,124.44,23.72,148.16
AAX76763,2004,123.4,23.97,147.37
AAY18096,2003,121.35,24.27,145.61
AAY18126,2003,122.57,24.25,146.82
AAY18146,2003,123.62,24.35,147.97
AAY18166,1999,122.66,24.41,147.07
AAY18196,2003,124.07,24.27,148.33
AAY27863,2003,121.5,24.27,145.77
AAY28014,2002,119.99,24.41,144.4
AAY28265,2003,121.35,24.27,145.61
AAY28285,2002,120.47,24.39,144.86
AAY28295,2003,121.2,24.27,145.47
AAY28305,2002,117.83,24.41,142.24
AAY28325,2002,117.73,24.41,142.14
AAY28335,2001,120.47,24.41,144.88
AAY28363,2000,122.91,24.36,147.27
AAY28395,2003,123.77,26.16,149.93
AAY28405,2002,120.21,24.41,144.62
AAY28551,2000,120.16,24.36,144.52
AAY28591,1999,121.92,24.36,146.28
AAY28618,2003,124.04,24.42,148.46
AAY28628,2002,115.38,24.54,139.92
AAY28648,2002,117.83,24.41,142.24
AAY44610,2003,123.32,24.27,147.59
AAY44620,2002,120.27,24.41,144.68
AAY44641,2002,120.27,24.41,144.68
AAY44651,2000,121.67,24.36,146.03
AAY44661,2003,121.2,24.41,145.61
AAY44755,1999,119.91,24.41,144.32
AAY44775,2000,121.84,24.36,146.19
AAY44796,2003,123.26,24.27,147.53
AAY44906,2003,123.59,24.27,147.86
AAY46371,1999,121.79,25.87,147.66
AAY46416,1998,123.99,24.41,148.4
AAY46426,1998,123.39,24.41,147.79
AAY46436,1998,120.96,25.87,146.83
AAY47013,2002,117.75,24.41,142.16
AAY47023,2002,120.8,24.41,145.22
AAY47075,2003,124.57,23.72,148.29
AAY59035,1999,122.68,24.36,147.03
AAY64192,1998,123.3,24.36,147.66
AAY64202,2003,121.35,24.27,145.61
AAY64212,2000,122.77,24.36,147.13
AAY64232,1998,122.63,24.41,147.03
AAY64252,1999,120.45,24.22,144.68
AAY64262,1999,122.63,24.41,147.03
AAY64272,2003,124.06,24.27,148.33
AAY64292,2003,122.55,23.72,146.27
AAY64322,1998,122.63,24.41,147.03
AAY64332,2003,122.93,24.27,147.2
AAY64342,1999,122.63,24.41,147.03
AAY64362,2003,123.09,23.97,147.07
AAY64372,1999,122.57,24.36,146.93
AAY64392,2003,124.23,24.25,148.48
AAY98077,2002,120.34,24.41,144.75
AAY98117,1999,120.5,24.41,144.91
AAY98127,1999,122.03,24.41,146.44
AAY98167,1999,122.5,24.41,146.91
AAY98187,2003,123.59,24.27,147.86
AAY98195,1999,122.63,24.41,147.03
AAY98247,1999,122.63,24.41,147.03
AAY98329,1999,122.35,24.41,146.76
AAY98366,1999,121.55,25.87,147.42
AAY98376,1999,122.47,24.36,146.83
AAY98770,1999,120.1,24.27,144.36
AAZ38462,1999,121,25.87,146.87
AAZ38473,1999,122.07,25.87,147.94
AAZ38495,1999,120.76,24.41,145.16
AAZ38517,2005,122.09,24.57,146.66
AAZ38528,2005,123.25,24.57,147.82
AAZ38539,2002,118.4,24.41,142.81
AAZ38572,2004,121.81,23.93,145.74
AAZ38583,2004,123.25,24.57,147.82
AAZ38594,2005,121.79,24.36,146.16
AAZ38616,2004,121.81,23.93,145.74
AAZ43370,1986,118.6,25.88,144.48
AAZ43383,1972,112.95,23.21,136.16
AAZ43405,1999,122.57,24.41,146.97
AAZ74386,1998,120.06,24.41,144.46
AAZ74397,1999,120.77,25.87,146.64
AAZ74408,1999,122.63,24.41,147.03
AAZ74419,2004,122.09,24.57,146.66
AAZ74474,2004,120.03,24.57,144.6
AAZ74551,2004,122.09,24.57,146.66
AAZ74573,2005,122.83,24.57,147.4
AAZ74584,1999,122.99,24.41,147.39
AAZ74617,1999,120.81,24.36,145.16
AAZ79516,1999,122.63,24.41,147.03
AAZ79582,1998,120.12,24.41,144.52
AAZ79593,2004,121.88,24.57,146.45
AAZ79615,2004,122.09,24.57,146.66
AAZ79626,2004,122.26,24.57,146.83
AAZ79627,2004,121.94,24.36,146.3
AAZ80007,1971,115.02,21.79,136.81
AAZ83242,2003,123.29,27.54,150.83
AAZ83266,1999,124.03,24.41,148.44
AAZ83312,1998,122.47,24.36,146.83
AAZ83323,1999,124.23,26.09,150.32
AAZ83371,2004,123.25,24.57,147.82
AAZ83649,2004,122.19,24.57,146.76
ABA12740,2004,122.46,24.57,147.03
ABA12762,2004,122.09,24.57,146.66
ABA12780,2005,122.5,24.57,147.07
ABA16214,1986,118.12,25.88,144.01
ABA18123,2001,119.4,24.41,143.81
ABA42291,2005,122.19,24.57,146.76
ABA42302,2001,120.27,24.41,144.68
ABA42313,2001,117.75,24.41,142.16
ABA42335,2002,120.47,24.41,144.88
ABA42368,2002,118.02,24.41,142.43
ABA42379,2002,118.4,24.41,142.81
ABA42401,2002,118.76,24.41,143.17
ABA42412,2002,118.34,24.41,142.75
ABA42476,2002,120.27,24.41,144.68
ABA42487,2002,120.58,24.41,144.99
ABA42498,2002,117.9,24.41,142.31
ABA42520,2000,119.91,24.36,144.27
ABA42531,2000,123.15,24.36,147.51
ABA42553,2000,124.02,24.36,148.38
ABA42928,1999,120.81,24.36,145.16
ABA42978,1999,122.67,24.36,147.03
ABA42989,2002,118.18,24.54,142.72
ABA43178,2005,122.09,24.57,146.66
ABA43200,2004,122.09,24.57,146.66
ABA43336,1990,122,27.89,149.9
ABB02836,2004,122.26,24.57,146.83
ABB02847,2004,121.87,24.57,146.43
ABB02869,1999,122.68,24.36,147.03
ABB02880,1999,122.68,24.36,147.03
ABB02891,2000,119.5,24.36,143.86
ABB02902,2000,122.68,24.36,147.03
ABB02947,1998,123.69,26.09,149.78
ABB02991,1999,120.11,24.41,144.52
ABB03002,1999,120.61,24.41,145.02
ABB03013,1999,119.04,25.87,144.91
ABB03024,1999,122.63,24.41,147.03
ABB03035,1999,121.37,25.87,147.23
ABB03046,1999,120.1,24.27,144.36
ABB03057,2005,122.46,24.57,147.03
ABB03079,2004,122.09,24.57,146.66
ABB03112,2003,123.32,24.27,147.59
ABB04983,2002,119.97,24.41,144.38
ABB05005,2000,121.52,24.36,145.88
ABB05183,1999,122.66,24.36,147.02
ABB05194,1999,122.47,24.41,146.88
ABB05205,1999,122.02,24.41,146.43
ABB46414,1999,123.3,24.36,147.66
ABB46425,1999,121.58,25.87,147.44
ABB46458,2004,122.26,24.57,146.83
ABB52376,1971,115.1,21.79,136.89
ABB53614,2004,122.09,24.57,146.66
ABB53674,2005,121.8,20.81,142.61
ABB53696,1999,122.63,24.41,147.03
ABB54514,1968,115.5,21.79,137.29
ABB59996,1997,123.19,26.09,149.28
ABB60007,1998,122.9,26.09,148.99
ABB71825,2005,121.85,24.57,146.42
ABB71833,2004,119.97,24.57,144.54
ABB77853,1997,122.68,26.09,148.77
ABB77864,1997,123.19,26.09,149.28
ABB79731,2005,122.5,24.57,147.07
ABB80001,2004,122.05,24.57,146.62
ABB80148,1997,123.19,26.09,149.28
ABB80196,1998,123.19,26.09,149.28
ABB80207,1998,122.65,26.09,148.73
ABB80218,1998,123.63,26.09,149.71
ABB80251,1998,123.3,24.36,147.66
ABB80492,1997,123.23,26.09,149.32
ABB80503,1998,123.21,26.09,149.3
ABB80529,1998,123.19,26.09,149.27
ABB80661,1998,122.82,26.09,148.91
ABB80672,1998,118.06,25.76,143.82
ABB80682,1998,123.19,26.09,149.28
ABB80724,1998,122.82,26.09,148.91
ABB80748,1998,123.07,26.09,149.16
ABB82183,2000,123.33,24.41,147.73
ABB96319,1978,114.78,25.62,140.41
ABB96330,1978,115.99,25.62,141.61
ABB96341,1978,113.39,25.62,139.02
ABB96352,1974,115.29,25.27,140.56
ABB96363,1976,116.07,19.7,135.78
ABB96374,1977,115.22,25.62,140.84
ABB96509,1988,122.09,25.65,147.74
ABB96531,1998,123.19,26.09,149.28
ABC02234,1998,122.09,26.09,148.18
ABC02288,1998,123.19,26.09,149.28
ABC40544,1976,111.95,19.71,131.66
ABC40555,1980,116.06,25.03,141.09
ABC40608,1999,124.05,24.36,148.4
ABC40642,2003,124.06,24.27,148.33
ABC46554,1978,114.09,25.66,139.75
ABC46565,1980,116.06,25.03,141.09
ABC50178,1997,123.19,26.09,149.28
ABC54668,1999,120.11,24.41,144.52
ABC67576,1997,122.53,26.09,148.62
ABC84531,1985,117.91,25.03,142.94
ABC84542,1972,112.95,23.21,136.16
ABD15460,2003,122.84,24.27,147.11
ABD15504,2003,123.26,19.35,142.61
ABD15625,2003,121.15,24.27,145.41
ABD16571,1990,122.09,23.81,145.9
ABD16582,1988,120.79,26.45,147.24
ABD16593,1988,121.09,24.78,145.87
ABD16718,1986,117.03,26.74,143.78
ABD16729,1985,117.7,26.1,143.81
ABD16740,1976,111.95,19.71,131.66
ABD16751,1976,112.16,19.71,131.87
ABD17334,1985,117.13,25.03,142.16
ABD61529,1983,117.52,25.03,142.54
ABD61777,1985,117.52,25.03,142.54
ABD77829,1997,120.21,26.21,146.42
ABD77862,1997,118.75,27.1,145.85
ABD77895,1996,122.82,25.68,148.5
ABD78115,1996,118.67,25.76,144.43
ABD78126,1996,116.1,25.76,141.86
ABD79123,1997,118.35,25.76,144.11
ABD79134,1997,119.12,25.76,144.88
ABD79189,1997,118.3,25.76,144.06
ABD79211,1997,118.35,25.76,144.11
ABD79233,1996,118.17,25.76,143.93
ABD79244,1996,118.14,25.76,143.9
ABD94822,1998,121.4,26.09,147.48
ABD94833,1996,118.67,25.76,144.43
ABD94844,1996,120.66,26.21,146.86
ABD94855,1996,120.7,26.21,146.9
ABD94866,1996,121.21,26.21,147.42
ABD94877,1996,122.93,26.21,149.13
ABD94888,1996,118.92,25.76,144.68
ABD94899,1996,118.35,25.76,144.11
ABD94921,1996,121.29,26.21,147.49
ABE11911,1996,119.25,25.76,145.01
ABE13471,1996,123.19,26.21,149.39
ABE13555,1996,122.75,26.21,148.96
ABE13595,1995,118.66,27.33,145.99
ABE13606,1996,119.25,25.76,145.01
ABE13617,1995,118.78,27.33,146.11
ABE13639,1995,118.95,27.33,146.28
ABE14052,1996,118.75,27.33,146.08
ABE14063,1995,118.78,27.33,146.11
ABE14464,1995,118.78,27.33,146.11
ABE14840,1996,118.71,27.33,146.04
ABE15578,1995,118.78,27.33,146.11
ABE73114,1999,119.41,24.51,143.92
ABF17954,2005,117.8,27.29,145.09
ABF21273,1999,120.75,25.88,146.63
ABF47858,1994,119.81,27.17,146.98
ABG26769,1996,120.76,26.21,146.96
ABG26846,1995,119.9,27.33,147.23
ABG26879,1995,118.6,26.96,145.56
ABG26890,1995,118.75,26.96,145.71
ABG26901,1995,120.17,27.11,147.27
ABG26912,1995,119.43,27.33,146.76
ABG26934,1994,117.57,27.29,144.85
ABG37131,1996,121.18,25.68,146.86
ABG37153,1996,118.91,27.45,146.35
ABG37175,1996,119.84,27.33,147.17
ABG37186,1996,118.71,27.33,146.04
ABG37197,1996,119.86,28.24,148.1
ABG37208,1985,119.42,25.05,144.47
ABG37219,1990,121.79,23.81,145.59
ABG37230,1994,120.47,27.25,147.72
ABG37252,1994,118.71,26.96,145.67
ABG37263,1995,119.3,27.33,146.63
ABG37274,1994,118.27,26.96,145.23
ABG37285,1995,118.69,26.96,145.65
ABG37296,1995,119.3,27.33,146.63
ABG37329,1995,118.71,26.96,145.67
ABG37340,1995,119.66,26.96,146.62
ABG37351,1993,119.05,27.17,146.22
ABG47851,1995,118.78,27.33,146.11
ABG47862,1996,119.75,25.76,145.51
ABG47884,1995,118.71,26.96,145.67
ABG47939,1993,119.54,27.17,146.72
ABG47950,1994,120.74,27.17,147.91
ABG47961,1994,119.67,27.47,147.14
ABG48005,1994,119.86,27.17,147.03
ABG48038,1993,119.86,27.17,147.03
ABG48291,1993,119.78,24.19,143.97
ABG48313,1993,119.01,24.05,143.06
ABG48324,1993,118.62,25.74,144.36
ABG48346,1993,120.86,27.47,148.34
ABG48368,1993,120.26,27.47,147.74
